==========================================
SLURM_JOB_ID = 8158628
SLURM_JOB_NODELIST = b18-16
TMPDIR = /tmp/SLURM_8158628
==========================================
==============================================
Array task: 6   Node: b18-16.hpc.usc.edu   Start: Sat Apr 18 11:48:39 PDT 2026
==============================================
Running lambda=0.4  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_0.4
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[0.4]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 5/5] lam=0.400 c=10.00 ratio= 0.85  t_aae=0.818 t_sae=0.492  val_f1=0.8237 val_FPR_gap=0.0006  test_f1=0.8126 test_FPR_gap=0.0010
  [ 5/5] lam=0.400 c=10.00 ratio= 0.90  t_aae=0.818 t_sae=0.492  val_f1=0.8237 val_FPR_gap=0.0006  test_f1=0.8126 test_FPR_gap=0.0010
  [ 5/5] lam=0.400 c=10.00 ratio= 0.93  t_aae=0.818 t_sae=0.492  val_f1=0.8237 val_FPR_gap=0.0006  test_f1=0.8126 test_FPR_gap=0.0010
  [ 5/5] lam=0.400 c=10.00 ratio= 0.95  t_aae=0.818 t_sae=0.492  val_f1=0.8237 val_FPR_gap=0.0006  test_f1=0.8126 test_FPR_gap=0.0010
  [ 5/5] lam=0.400 c=10.00 ratio= 0.97  t_aae=0.476 t_sae=0.443  val_f1=0.8532 val_FPR_gap=0.0041  test_f1=0.8246 test_FPR_gap=0.3026
  [ 5/5] lam=0.400 c=10.00 ratio= 0.99  t_aae=0.476 t_sae=0.443  val_f1=0.8532 val_FPR_gap=0.0041  test_f1=0.8246 test_FPR_gap=0.3026

Saved: data/results/adv_xgb_thresh_grid/lam_0.4_grid.csv  (35 rows)

Task lam_0.4 completed at: Sat Apr 18 12:05:03 PDT 2026
