==========================================
SLURM_JOB_ID = 8158627
SLURM_JOB_NODELIST = e21-10
TMPDIR = /tmp/SLURM_8158627
==========================================
==============================================
Array task: 5   Node: e21-10.hpc.usc.edu   Start: Sat Apr 18 11:47:06 PDT 2026
==============================================
Running lambda=0.25  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_0.25
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[0.25]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 1/5] lam=0.250 c=0.10 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8472 val_FPR_gap=0.0713  test_f1=0.8293 test_FPR_gap=0.3427
  [ 1/5] lam=0.250 c=0.10 ratio= 0.85  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 1/5] lam=0.250 c=0.10 ratio= 0.90  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 1/5] lam=0.250 c=0.10 ratio= 0.93  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 1/5] lam=0.250 c=0.10 ratio= 0.95  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 1/5] lam=0.250 c=0.10 ratio= 0.97  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 1/5] lam=0.250 c=0.10 ratio= 0.99  t_aae=0.410 t_sae=0.329  val_f1=0.8424 val_FPR_gap=0.0006  test_f1=0.8112 test_FPR_gap=0.2763
  [ 2/5] lam=0.250 c=0.50 ratio= none  t_aae=0.500 t_sae=0.500  val_f1=0.8480 val_FPR_gap=0.0663  test_f1=0.8255 test_FPR_gap=0.2923
  [ 2/5] lam=0.250 c=0.50 ratio= 0.85  t_aae=0.884 t_sae=0.737  val_f1=0.7356 val_FPR_gap=0.0002  test_f1=0.7589 test_FPR_gap=0.0879
  [ 2/5] lam=0.250 c=0.50 ratio= 0.90  t_aae=0.867 t_sae=0.622  val_f1=0.7804 val_FPR_gap=0.0013  test_f1=0.7940 test_FPR_gap=0.0578
