==========================================
SLURM_JOB_ID = 8158620
SLURM_JOB_NODELIST = e21-06
TMPDIR = /tmp/SLURM_8158620
==========================================
==============================================
Array task: 9   Node: e21-06.hpc.usc.edu   Start: Sat Apr 18 11:51:45 PDT 2026
==============================================
Running lambda=1.5  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_1.5
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[1.5]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 5/5] lam=1.500 c=10.00 ratio= 0.85  t_aae=0.280 t_sae=0.214  val_f1=0.8141 val_FPR_gap=0.0019  test_f1=0.8000 test_FPR_gap=0.2754
  [ 5/5] lam=1.500 c=10.00 ratio= 0.90  t_aae=0.280 t_sae=0.214  val_f1=0.8141 val_FPR_gap=0.0019  test_f1=0.8000 test_FPR_gap=0.2754
  [ 5/5] lam=1.500 c=10.00 ratio= 0.93  t_aae=0.280 t_sae=0.214  val_f1=0.8141 val_FPR_gap=0.0019  test_f1=0.8000 test_FPR_gap=0.2754
  [ 5/5] lam=1.500 c=10.00 ratio= 0.95  t_aae=0.280 t_sae=0.214  val_f1=0.8141 val_FPR_gap=0.0019  test_f1=0.8000 test_FPR_gap=0.2754
  [ 5/5] lam=1.500 c=10.00 ratio= 0.97  t_aae=0.557 t_sae=0.443  val_f1=0.8498 val_FPR_gap=0.0024  test_f1=0.8282 test_FPR_gap=0.2318
  [ 5/5] lam=1.500 c=10.00 ratio= 0.99  t_aae=0.557 t_sae=0.443  val_f1=0.8498 val_FPR_gap=0.0024  test_f1=0.8282 test_FPR_gap=0.2318

Saved: data/results/adv_xgb_thresh_grid/lam_1.5_grid.csv  (35 rows)

Task lam_1.5 completed at: Sat Apr 18 12:21:32 PDT 2026
