==========================================
SLURM_JOB_ID = 8158630
SLURM_JOB_NODELIST = a01-20
TMPDIR = /tmp/SLURM_8158630
==========================================
==============================================
Array task: 8   Node: a01-20.hpc.usc.edu   Start: Sat Apr 18 11:50:12 PDT 2026
==============================================
Running lambda=1.0  adv_c=0.1,0.5,1.0,3.0,10.0  ratios=none,0.85,0.90,0.93,0.95,0.97,0.99
==============================================
Train=5828 (AAE=993, SAE=4835) Val=1249 Test=1249
Tag: lam_1.0
Config: leaf_adv=True, reweighting=FALSE, threshold_tuning=PER-GROUP, post_processing=NONE
Grid: 5 cells x 7 ratios = 35 rows  lambda=[1.0]  adv_c=[0.1, 0.5, 1.0, 3.0, 10.0]  ratios=[None, 0.85, 0.9, 0.93, 0.95, 0.97, 0.99]
  [ 5/5] lam=1.000 c=10.00 ratio= 0.85  t_aae=0.835 t_sae=0.508  val_f1=0.8116 val_FPR_gap=0.0006  test_f1=0.8160 test_FPR_gap=0.0094
  [ 5/5] lam=1.000 c=10.00 ratio= 0.90  t_aae=0.835 t_sae=0.508  val_f1=0.8116 val_FPR_gap=0.0006  test_f1=0.8160 test_FPR_gap=0.0094
  [ 5/5] lam=1.000 c=10.00 ratio= 0.93  t_aae=0.835 t_sae=0.508  val_f1=0.8116 val_FPR_gap=0.0006  test_f1=0.8160 test_FPR_gap=0.0094
  [ 5/5] lam=1.000 c=10.00 ratio= 0.95  t_aae=0.835 t_sae=0.508  val_f1=0.8116 val_FPR_gap=0.0006  test_f1=0.8160 test_FPR_gap=0.0094
  [ 5/5] lam=1.000 c=10.00 ratio= 0.97  t_aae=0.459 t_sae=0.427  val_f1=0.8576 val_FPR_gap=0.0009  test_f1=0.8280 test_FPR_gap=0.3649
  [ 5/5] lam=1.000 c=10.00 ratio= 0.99  t_aae=0.459 t_sae=0.427  val_f1=0.8576 val_FPR_gap=0.0009  test_f1=0.8280 test_FPR_gap=0.3649

Saved: data/results/adv_xgb_thresh_grid/lam_1.0_grid.csv  (35 rows)

Task lam_1.0 completed at: Sat Apr 18 12:09:03 PDT 2026
