alpha,accuracy,f1,fpr_AAE,fnr_AAE,fpr_SAE,fnr_SAE,fpr_gap,fnr_gap
1.0,0.8808499193114577,0.9320447921460346,0.8888888888888888,0.0075675675675675675,0.6086956521739131,0.02214022140221402,0.28019323671497576,0.014572653834646454
1.25,0.8770844540075309,0.9299831469281447,0.8148148148148148,0.0075675675675675675,0.6304347826086957,0.0235239852398524,0.1843800322061191,0.015956417672284832
1.5,0.8754706831629908,0.9290638884633062,0.8888888888888888,0.008648648648648649,0.6321070234113713,0.024446494464944648,0.2567818654775176,0.015797845816296
1.75,0.8746637977407208,0.9285714285714286,0.8148148148148148,0.008648648648648649,0.6354515050167224,0.025830258302583026,0.17936330979809234,0.01718160965393438
2.0,0.878698224852071,0.9308388284005521,0.8518518518518519,0.0075675675675675675,0.6187290969899666,0.0235239852398524,0.23312275486188527,0.015956417672284832
2.25,0.8752017213555675,0.9288125191776618,0.8518518518518519,0.005405405405405406,0.6270903010033445,0.028136531365313654,0.22476155084850735,0.022731125959908248
2.5,0.8768154922001076,0.9297761422876418,0.8518518518518519,0.005405405405405406,0.6254180602006689,0.025830258302583026,0.22643379165118294,0.02042485289717762
2.75,0.8770844540075309,0.9298972235005369,0.8518518518518519,0.006486486486486486,0.6220735785953178,0.025830258302583026,0.2297782732565341,0.01934377181609654
3.0,0.8770844540075309,0.930004594884362,0.8518518518518519,0.0075675675675675675,0.6304347826086957,0.023062730627306273,0.22141706924315618,0.015495163059738706
3.25,0.8768154922001076,0.9297546012269938,0.8518518518518519,0.0075675675675675675,0.6237458193979933,0.0253690036900369,0.22810603245385852,0.017801436122469334
3.5,0.8754706831629908,0.9290856180119467,0.8888888888888888,0.0075675675675675675,0.6337792642140468,0.024446494464944648,0.255109624674842,0.01687892689737708
3.75,0.8762775685852608,0.9294911097486205,0.8888888888888888,0.0075675675675675675,0.6270903010033445,0.024907749077490774,0.26179858788554433,0.017340181509923207
4.0,0.8738569123184508,0.9282106229909689,0.8888888888888888,0.006486486486486486,0.6421404682274248,0.0253690036900369,0.24674842066146407,0.018882517203550414
4.25,0.8754706831629908,0.929150726855394,0.8518518518518519,0.006486486486486486,0.6404682274247492,0.0235239852398524,0.21138362442710268,0.017037498753365913
4.5,0.8765465303926843,0.9296336041698605,0.8148148148148148,0.006486486486486486,0.6287625418060201,0.0253690036900369,0.18605227300879468,0.018882517203550414
4.75,0.8784292630446476,0.9305896805896806,0.8148148148148148,0.0075675675675675675,0.6137123745819398,0.025830258302583026,0.20110244023287493,0.01826269073501546
5.0,0.8795051102743411,0.9312461632903621,0.8518518518518519,0.005405405405405406,0.6120401337792643,0.024907749077490774,0.2398117180725876,0.01950234367208537
5.25,0.877891339429801,0.9303680981595092,0.8148148148148148,0.006486486486486486,0.6220735785953178,0.024907749077490774,0.19274123621949701,0.018421262591004288
5.5,0.8781603012372243,0.9305959859047035,0.7777777777777778,0.006486486486486486,0.6287625418060201,0.023062730627306273,0.1490152359717577,0.016576244140819787
5.75,0.8770844540075309,0.9298541826554106,0.8148148148148148,0.006486486486486486,0.6204013377926422,0.026752767527675275,0.1944134770221726,0.02026628104118879
6.0,0.8795051102743411,0.9313935681470138,0.8148148148148148,0.005405405405405406,0.6254180602006689,0.021678966789667898,0.18939675461414585,0.016273561384262492
6.25,0.8768154922001076,0.9299051117232935,0.8518518518518519,0.005405405405405406,0.6354515050167224,0.023062730627306273,0.21640034683512943,0.017657325221900867
6.5,0.8770844540075309,0.930111637865117,0.8518518518518519,0.006486486486486486,0.6387959866220736,0.021217712177121772,0.21305586522977826,0.014731225690635286
6.75,0.878698224852071,0.9307963787018567,0.8148148148148148,0.008648648648648649,0.617056856187291,0.023985239852398525,0.19775795862752377,0.015336591203749876
7.0,0.8752017213555675,0.9289433384379786,0.8148148148148148,0.005405405405405406,0.6387959866220736,0.0253690036900369,0.17601882819274117,0.019963598284631495
7.25,0.8714362560516407,0.9267993874425727,0.8148148148148148,0.0075675675675675675,0.6505016722408027,0.027675276752767528,0.16431314257401208,0.02010770918519996
7.5,0.8754706831629908,0.9290638884633062,0.8148148148148148,0.005405405405405406,0.6354515050167224,0.025830258302583026,0.17936330979809234,0.02042485289717762
7.75,0.8746637977407208,0.9285276073619632,0.8148148148148148,0.006486486486486486,0.6321070234113713,0.027675276752767528,0.1827077914034435,0.02118879026628104
