lambda_adv,adv_hidden,adv_lr,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec
0.15,128,0.001,,0.5,0.5,0.8870056497175142,0.9345386533665836,0.8518518518518519,0.008648648648648649,0.9913513513513513,0.967436974789916,0.9873949579831933,0.5058626465661642,0.04012915129151291,0.959870848708487,0.8593128390596745,0.8618444846292947,0.34598920528568766,0.03148050264286426,0.03148050264286428,0.678857249209008,0.02438889997008078,0.6544683492389273,0.09123805930297939,1.1456764696372534,0.8873050026896181,0.9347453667653014,0.8148148148148148,0.00972972972972973,0.9902702702702703,0.967436974789916,0.9852941176470589,0.5100334448160535,0.038284132841328415,0.9617158671586716,0.8597252349963846,0.8640636297903109,0.30478136999876126,0.028554403111598688,0.028554403111598625,0.6624241298154341,0.02400693128552907,0.638417198529905,0.10818209466999579,1.1403027187744734,380.59
0.15,128,0.001,0.85,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.001,0.9,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.001,0.93,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.001,0.95,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.001,0.97,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.001,0.99,0.8183673469387756,0.589795918367347,0.8835082055421039,0.9308417185753075,0.4074074074074074,0.05405405405405406,0.9459459459459459,0.9359243697478992,0.930672268907563,0.40703517587939697,0.059501845018450183,0.9404981549815498,0.8654611211573237,0.8253164556962025,0.0003722315280104138,0.005447790964396126,0.005447790964396182,0.40722129164340215,0.05677794953625212,0.35044334210715,0.3968761190413322,1.1276550360866564,0.8768154922001076,0.9270003187759005,0.48148148148148145,0.057297297297297295,0.9427027027027027,0.930672268907563,0.9296218487394958,0.43478260869565216,0.06088560885608856,0.9391143911439115,0.8582791033984093,0.8300795372378886,0.04669887278582929,0.003588311558791267,0.003588311558791246,0.4581320450885668,0.05909145307669293,0.39904059201187386,0.4141828828303319,1.1199189906953337,380.59
0.15,128,0.0003,,0.5,0.5,0.8859295130481571,0.9337706966572946,0.8518518518518519,0.0075675675675675675,0.9924324324324324,0.9684873949579832,0.9884453781512605,0.49748743718592964,0.04474169741697417,0.9552583025830258,0.8575045207956601,0.8564195298372513,0.3543644146659222,0.0371741298494066,0.0371741298494066,0.6746696445188908,0.026154632492270867,0.6485150120266199,0.08047487956331024,1.1541602359272403,0.8859601936525013,0.9339358055468994,0.7777777777777778,0.008648648648648649,0.9913513513513513,0.9695378151260504,0.9852941176470589,0.5133779264214047,0.04059040590405904,0.959409594095941,0.8571945046999276,0.8629790310918294,0.2643998513563731,0.03194175725541039,0.031941757255410375,0.6455778520995912,0.024619527276353845,0.6209583248232373,0.10732577208338867,1.1417358600047551,129.09
0.15,128,0.0003,0.85,0.4755102040816327,0.1326530612244898,0.8541834813021254,0.9192009540846751,0.8518518518518519,0.006486486486486486,0.9935135135135135,0.9695378151260504,0.9894957983193278,0.8525963149078727,0.0018450184501845018,0.9981549815498155,0.8144665461121158,0.9667269439421338,0.0007444630560208276,0.004641468036301984,0.004641468036302054,0.8522240833798622,0.004165752468335494,0.8480583309115267,0.31569683606566473,1.023552508062744,0.8496503496503497,0.9168278529980658,0.7777777777777778,0.0075675675675675675,0.9924324324324324,0.9705882352941176,0.9863445378151261,0.8795986622073578,0.0023062730627306273,0.9976937269372693,0.8080260303687635,0.9721619667389733,0.10182088442958004,0.00526129450483694,0.005261294504836922,0.8286882199925678,0.004936920315149097,0.8237512996774187,0.4905324004575978,1.014588681120534,129.09
0.15,128,0.0003,0.9,0.4755102040816327,0.1326530612244898,0.8541834813021254,0.9192009540846751,0.8518518518518519,0.006486486486486486,0.9935135135135135,0.9695378151260504,0.9894957983193278,0.8525963149078727,0.0018450184501845018,0.9981549815498155,0.8144665461121158,0.9667269439421338,0.0007444630560208276,0.004641468036301984,0.004641468036302054,0.8522240833798622,0.004165752468335494,0.8480583309115267,0.31569683606566473,1.023552508062744,0.8496503496503497,0.9168278529980658,0.7777777777777778,0.0075675675675675675,0.9924324324324324,0.9705882352941176,0.9863445378151261,0.8795986622073578,0.0023062730627306273,0.9976937269372693,0.8080260303687635,0.9721619667389733,0.10182088442958004,0.00526129450483694,0.005261294504836922,0.8286882199925678,0.004936920315149097,0.8237512996774187,0.4905324004575978,1.014588681120534,129.09
