alpha_aae,beta_aae,threshold,val_accuracy,val_f1,val_FPR_gap,val_FNR_gap,val_DIfav,val_DIunfav,val_AAE_FPR,val_SAE_FPR
0.9,-0.15,0.4,0.8526821457165733,0.8557993730407524,0.01768099751471372,0.0804492125312562,0.30237076137029567,1.8303704846793325,0.18518518511659807,0.16750418760188435
1.05,-0.1,0.45,0.8614891913530824,0.8596918085969181,0.02419504926788403,0.08627868812392239,0.3237171168995329,1.9343585962062444,0.14814814809327845,0.12395309882539442
1.1,-0.15,0.5,0.8582866293034428,0.8545603944124898,0.03424530052399709,0.09374923457618817,0.3321653442270115,1.975577884541967,0.14814814809327845,0.11390284756928136
1.05,-0.1,0.5,0.8582866293034428,0.854080791426216,0.037595384276034774,0.09830504323212083,0.3300188800029878,1.994528271452859,0.14814814809327845,0.11055276381724367
0.9,-0.15,0.45,0.855084067253803,0.8557768924302789,0.037781500026939835,0.07033335782815806,0.3270519611324347,1.8559426314196577,0.18518518511659807,0.14740368508965823
1.1,-0.15,0.45,0.855884707766213,0.8548387096774194,0.05118183503509058,0.08627868812392239,0.31880695385248803,1.919069930325091,0.18518518511659807,0.1340033500815075
1.1,-0.15,0.55,0.8566853482786229,0.8499580888516345,0.052670761160204374,0.10039924559865414,0.3441403079737832,2.0428168484994944,0.14814814809327845,0.09547738693307407
1.05,-0.1,0.55,0.8590872698158527,0.8518518518518519,0.059370928664279746,0.10267714992662046,0.3414559062389025,2.0686752889415296,0.14814814809327845,0.0887772194289987
1.05,-0.1,0.4,0.8534827862289832,0.8553359683794466,0.06644332767016525,0.08418448575738907,0.29657619984583294,1.8739507333373004,0.22222222213991769,0.15577889446975243
1.0,0.0,0.6,0.8534827862289832,0.8429184549356223,0.07277126367243049,0.13684571484611552,0.32962836750251473,2.1965772521689244,0.14814814809327845,0.07537688442084796
0.9,-0.15,0.5,0.8622898318654924,0.8590163934426229,0.07463242129935439,0.06932912043692523,0.34230038684103314,1.9455398586778911,0.18518518511659807,0.11055276381724367
1.1,-0.15,0.6,0.8630904723779024,0.8542199488491049,0.07612134742446817,0.11406667156645213,0.333648225579305,2.1503335218050657,0.14814814809327845,0.07202680066881027
1.05,-0.1,0.6,0.8574859887910328,0.8470790378006873,0.07779638930048702,0.10932716094908645,0.35266583848757743,2.1458160134677855,0.14814814809327845,0.07035175879279143
0.9,-0.25,0.6,0.8638911128903123,0.8544520547945206,0.0811464730525247,0.11096823180868602,0.33899558437861166,2.1602736394087425,0.14814814809327845,0.06700167504075374
0.95,-0.1,0.45,0.8606885508406725,0.8608,0.08654383018239137,0.08336395032758928,0.29778671507521326,1.9216548851391955,0.22222222213991769,0.13567839195752632
1.1,-0.15,0.4,0.8470776621297038,0.8504306969459671,0.08840498780931524,0.08728292551515518,0.28458694912269555,1.8548579206147264,0.2592592591632373,0.17085427135392203
0.9,-0.25,0.55,0.855884707766213,0.8484848484848485,0.09473292381158052,0.11488720699625192,0.325265220118749,2.10395531373262,0.18518518511659807,0.09045226130501755
0.9,-0.15,0.55,0.8630904723779024,0.8569037656903765,0.09640796568759936,0.09666397237252124,0.3288451831749484,2.0671360966959167,0.18518518511659807,0.0887772194289987
