split,accuracy,f1,precision,recall,fpr_AAE,fnr_AAE,fpr_SAE,fnr_SAE,fpr_gap,fnr_gap,dialect_accuracy,dialect_f1
val,0.9647718174539631,0.9643435980551054,0.9770114942528736,0.952,0.07407407407407407,0.03225806451612903,0.020100502512562814,0.05466970387243736,0.05397357156151125,0.022411639356308327,0.17053642914331466,0.2913816689466484
test,0.9615692554043235,0.9614147909967846,0.964516129032258,0.9583333333333334,0.1111111111111111,0.03763440860215054,0.03177257525083612,0.04337899543378995,0.07933853586027498,0.005744586831639413,0.17053642914331466,0.2913816689466484
