lambda_adv,adv_c,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec
1.5,0.1,,0.5,0.5,0.8818940005380683,0.9316944141901353,0.8888888888888888,0.012972972972972972,0.987027027027027,0.9621848739495799,0.9842436974789915,0.5293132328308208,0.04012915129151291,0.959870848708487,0.854249547920434,0.8669077757685353,0.35957565605806807,0.02715617831853994,0.027156178318540003,0.7091010608598548,0.026551062132242943,0.6825499987276119,0.11838634020979916,1.1353499341414208,0.8889187735341582,0.9359391965255157,0.7777777777777778,0.008648648648648649,0.9913513513513513,0.9695378151260504,0.9852941176470589,0.5284280936454849,0.03136531365313653,0.9686346863468634,0.8611713665943601,0.8734634851771511,0.24934968413229286,0.02271666500448788,0.02271666500448788,0.6531029357116314,0.02000698115089259,0.6330959545607387,0.11621847821037726,1.1280312492592799,64.25
1.5,0.1,0.85,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.1,0.9,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.1,0.93,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.1,0.95,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.1,0.97,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.1,0.99,0.8020408163265307,0.573469387755102,0.8775894538606404,0.9276054097056484,0.4444444444444444,0.061621621621621624,0.9383783783783783,0.9275210084033614,0.9243697478991597,0.4438860971524288,0.05581180811808118,0.9441881918819188,0.8603978300180832,0.8361663652802893,0.000558347292015593,0.0058098135035404425,0.005809813503540484,0.4441652707984366,0.0587167148698514,0.3854485559285852,0.46162833177660045,1.1054854335529862,0.8797740720817644,0.9292385626088333,0.4444444444444444,0.0745945945945946,0.9254054054054054,0.9149159663865546,0.9117647058823529,0.46321070234113715,0.041051660516605165,0.9589483394833949,0.8676789587852495,0.8517715112075199,0.01876625789669273,0.03354293407798943,0.03354293407798947,0.4538275733927908,0.05782312755559988,0.3960044458371909,0.5952653830838327,1.0704334239653648,64.25
1.5,0.5,,0.5,0.5,0.8864675813828357,0.9342679127725857,0.8518518518518519,0.008648648648648649,0.9913513513513513,0.967436974789916,0.9873949579831933,0.5108877721943048,0.03966789667896679,0.9603321033210332,0.8585895117540687,0.8632911392405064,0.34096407965754705,0.031019248030318136,0.03101924803031808,0.6813698120230783,0.02415827266380772,0.6572115393592706,0.09220354134138244,1.143756609634964,0.8859601936525013,0.9340590979782271,0.7777777777777778,0.008648648648648649,0.9913513513513513,0.9695378151260504,0.9852941176470589,0.5234113712374582,0.03782287822878229,0.9621771217712177,0.8571945046999276,0.8673174258857556,0.2543664065403196,0.02917422958013364,0.029174229580133604,0.650594574507618,0.02323576343871547,0.6273588110689026,0.11083506136931155,1.1360248011627005,60.27
1.5,0.5,0.85,0.9,0.8183673469387756,0.8305084745762712,0.8911541119557705,0.18518518518518517,0.16108108108108107,0.8389189189189189,0.8382352941176471,0.8203781512605042,0.18592964824120603,0.1683579335793358,0.8316420664206642,0.8278481012658228,0.6922242314647378,0.0007444630560208554,0.007276852498254716,0.007276852498254716,0.1855574167131956,0.16471950733020843,0.020837909382987158,0.5836126858141188,1.1851335190524306,0.8257127487896718,0.8880442294402211,0.18518518518518517,0.19675675675675675,0.8032432432432433,0.8035714285714286,0.7857142857142857,0.20066889632107024,0.1572878228782288,0.8427121771217713,0.8333333333333334,0.7039045553145337,0.015483711135885064,0.039468933878527956,0.03946893387852801,0.19292704075312772,0.17702228981749277,0.015904750935634954,0.7237048421204029,1.1162227444329702,60.27
1.5,0.5,0.9,0.9,0.8183673469387756,0.8305084745762712,0.8911541119557705,0.18518518518518517,0.16108108108108107,0.8389189189189189,0.8382352941176471,0.8203781512605042,0.18592964824120603,0.1683579335793358,0.8316420664206642,0.8278481012658228,0.6922242314647378,0.0007444630560208554,0.007276852498254716,0.007276852498254716,0.1855574167131956,0.16471950733020843,0.020837909382987158,0.5836126858141188,1.1851335190524306,0.8257127487896718,0.8880442294402211,0.18518518518518517,0.19675675675675675,0.8032432432432433,0.8035714285714286,0.7857142857142857,0.20066889632107024,0.1572878228782288,0.8427121771217713,0.8333333333333334,0.7039045553145337,0.015483711135885064,0.039468933878527956,0.03946893387852801,0.19292704075312772,0.17702228981749277,0.015904750935634954,0.7237048421204029,1.1162227444329702,60.27
