gamma,val_accuracy,val_f1,val_fpr_AAE,val_fpr_SAE,val_fpr_gap,val_fnr_AAE,val_fnr_SAE,val_fnr_gap,test_accuracy,test_f1,test_fpr_AAE,test_fpr_SAE,test_fpr_gap,test_fnr_AAE,test_fnr_SAE,test_fnr_gap
0.0,0.7990392313851081,0.7951020408163265,0.2962962962962963,0.17587939698492464,0.12041689931137164,0.0967741935483871,0.2733485193621868,0.1765743258137997,0.7918334667734187,0.7929936305732485,0.5185185185185185,0.20066889632107024,0.3178496221974483,0.11290322580645161,0.23972602739726026,0.12682280159080866
0.02,0.799839871897518,0.7960848287112561,0.2962962962962963,0.17587939698492464,0.12041689931137164,0.0913978494623656,0.2733485193621868,0.1819506698998212,0.7830264211369096,0.7844073190135242,0.5185185185185185,0.21070234113712374,0.3078161773813948,0.12903225806451613,0.24429223744292236,0.11525997937840624
0.04,0.8014411529223379,0.7980456026058632,0.2962962962962963,0.17587939698492464,0.12041689931137164,0.0913978494623656,0.26879271070615035,0.17739486124378476,0.7878302642113691,0.7901821060965954,0.48148148148148145,0.21237458193979933,0.2691068995416821,0.11290322580645161,0.2374429223744292,0.1245396965679776
0.06,0.800640512409928,0.7977254264825345,0.2962962962962963,0.17922948073701842,0.11706681555927786,0.0913978494623656,0.26651480637813213,0.17511695691576654,0.789431545236189,0.7911040508339953,0.5185185185185185,0.205685618729097,0.3128328997894215,0.11290322580645161,0.23972602739726026,0.12682280159080866
0.08,0.8022417934347478,0.7983673469387755,0.2962962962962963,0.17252931323283083,0.12376698306346545,0.0913978494623656,0.27107061503416857,0.17967276557180298,0.7806244995996797,0.7821939586645469,0.5185185185185185,0.2140468227424749,0.3044716957760436,0.12365591397849462,0.24885844748858446,0.12520253351008984
0.1,0.7974379503602882,0.7931316434995912,0.2962962962962963,0.17587939698492464,0.12041689931137164,0.0913978494623656,0.28018223234624146,0.18878438288387586,0.7814251401120896,0.781074578989575,0.5185185185185185,0.2040133779264214,0.3145051405920971,0.12365591397849462,0.2602739726027397,0.1366180586242451
0.12,0.8022417934347478,0.7986960065199674,0.2962962962962963,0.17420435510887772,0.12209194118741856,0.0967741935483871,0.26651480637813213,0.16974061282974504,0.7790232185748599,0.780952380952381,0.5555555555555556,0.2157190635451505,0.3398364920104051,0.11827956989247312,0.2511415525114155,0.1328619826189424
0.14,0.7982385908726981,0.7944535073409462,0.2962962962962963,0.17755443886097153,0.11874185743532475,0.0913978494623656,0.275626423690205,0.18422857422783942,0.7806244995996797,0.780448717948718,0.5555555555555556,0.2040133779264214,0.3515421776291342,0.11290322580645161,0.2648401826484018,0.1519369568419502
0.16,0.8030424339471577,0.7990196078431373,0.2962962962962963,0.1708542713567839,0.12544202493951237,0.0967741935483871,0.26879271070615035,0.17201851715776326,0.7830264211369096,0.7833733013589129,0.5555555555555556,0.2040133779264214,0.3515421776291342,0.11827956989247312,0.2557077625570776,0.1374281926646045
0.18,0.799839871897518,0.7960848287112561,0.2962962962962963,0.17587939698492464,0.12041689931137164,0.0967741935483871,0.27107061503416857,0.17429642148578148,0.7838270616493195,0.78330658105939,0.48148148148148145,0.20234113712374582,0.2791403443577356,0.12365591397849462,0.2579908675799087,0.13433495360141406
0.2,0.8094475580464372,0.8061889250814332,0.2222222222222222,0.1708542713567839,0.0513679508654383,0.08602150537634409,0.25968109339407747,0.17365958801773337,0.7910328262610088,0.7906976744186046,0.4074074074074074,0.19899665551839466,0.20841075188901273,0.12903225806451613,0.24429223744292236,0.11525997937840624
0.22,0.8094475580464372,0.8061889250814332,0.2222222222222222,0.1708542713567839,0.0513679508654383,0.07526881720430108,0.2642369020501139,0.18896808484581284,0.7918334667734187,0.7906602254428341,0.4074074074074074,0.1939799331103679,0.21342747429703948,0.13440860215053763,0.2465753424657534,0.11216674031521578
