lambda_adv,adv_c,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,elapsed_sec
0.25,0.1,0.8518815052041633,0.847233691164327,0.18518518518518517,0.0967741935483871,0.9032258064516129,0.892018779342723,0.812206572769953,0.11390284757118928,0.214123006833713,0.785876993166287,0.8436293436293436,0.39864864864864863,0.0712823376139959,0.1173488132853259,0.11734881328532587,0.14954401637818723,0.15544860019105006,0.005904583812862824,0.31228569402094525,2.0373994873661325,0.8318654923939152,0.8292682926829268,0.48148148148148145,0.10215053763440861,0.8978494623655914,0.8497652582159625,0.8450704225352113,0.13879598662207357,0.21689497716894976,0.7831050228310502,0.8281853281853282,0.4111969111969112,0.3426854948594079,0.11474443953454115,0.11474443953454116,0.3101387340517775,0.15952275740167918,0.15061597665009832,0.2631262943074307,2.055147738157625,160.69
0.25,0.5,0.8518815052041633,0.847986852917009,0.18518518518518517,0.10215053763440861,0.8978494623655914,0.8873239436619719,0.8075117370892019,0.11892797319932999,0.20501138952164008,0.7949886104783599,0.8445945945945946,0.40540540540540543,0.06625721198585519,0.10286085188723147,0.10286085188723149,0.15205657919225757,0.15358096357802434,0.0015243843857667694,0.3237302549054244,1.9918622356874294,0.8270616493194556,0.8255250403877221,0.4444444444444444,0.0967741935483871,0.9032258064516129,0.8591549295774648,0.8450704225352113,0.15217391304347827,0.21689497716894976,0.7831050228310502,0.8204633204633205,0.4189189189189189,0.29227053140096615,0.12012078362056267,0.12012078362056267,0.29830917874396135,0.15683458535866843,0.14147459338529292,0.26662298918821753,2.017264831446118,115.73
0.25,1.0,0.8566853482786229,0.851698425849213,0.2222222222222222,0.10215053763440861,0.8978494623655914,0.8826291079812206,0.812206572769953,0.10385259631490787,0.20956719817767655,0.7904328018223234,0.8513513513513513,0.3947876447876448,0.11836962590731434,0.10741666054326794,0.10741666054326793,0.16303740926856503,0.1558588679060426,0.007178541362522439,0.3102934408224699,2.0573251542195177,0.8286629303442754,0.8274193548387097,0.48148148148148145,0.0913978494623656,0.9086021505376344,0.8591549295774648,0.8544600938967136,0.1505016722408027,0.2146118721461187,0.7853881278538812,0.8223938223938224,0.4189189189189189,0.33097980924067877,0.12321402268375312,0.12321402268375314,0.3159915768611421,0.15300486080424214,0.16298671605689996,0.2504640201465073,2.0396788851288528,145.64
0.25,3.0,0.855084067253803,0.8512736236647493,0.18518518518518517,0.0913978494623656,0.9086021505376344,0.8967136150234741,0.8169014084507042,0.11557788944723618,0.20501138952164008,0.7949886104783599,0.8465250965250966,0.4034749034749035,0.069607295737949,0.11361354005927449,0.11361354005927449,0.15038153731621068,0.14820461949200284,0.0021769178242078413,0.30694197033196047,2.024664684639721,0.8278622898318655,0.8267526188557615,0.48148148148148145,0.11290322580645161,0.8870967741935484,0.8403755868544601,0.8356807511737089,0.15217391304347827,0.2054794520547945,0.7945205479452054,0.8252895752895753,0.42374517374517373,0.3293075684380032,0.0925762262483429,0.09257622624834294,0.31682769726247983,0.15919133893062307,0.15763635833185677,0.28515031629795695,1.9721303821974754,265.12
0.25,10.0,0.8526821457165733,0.8474295190713101,0.18518518518518517,0.10752688172043011,0.8924731182795699,0.8826291079812206,0.8028169014084507,0.10887772194304858,0.214123006833713,0.785876993166287,0.8465250965250966,0.39575289575289574,0.0763074632421366,0.10659612511328288,0.10659612511328287,0.14703145356411687,0.16082494427707156,0.013793490712954687,0.3263285730991709,2.0285811923001313,0.8326661329063251,0.8291087489779232,0.4444444444444444,0.11290322580645161,0.8870967741935484,0.8450704225352113,0.8309859154929577,0.13377926421404682,0.2191780821917808,0.7808219178082192,0.8301158301158301,0.40733590733590735,0.3106651802303976,0.1062748563853292,0.10627485638532919,0.28911185432924563,0.16604065399911622,0.12307120033012942,0.28517685438902857,2.0400506808430787,378.34
