lambda_adv,adv_c,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,elapsed_sec,test_score,val_score
0.0,0.1,0.8582866293034428,0.8535980148883374,0.1851851851851851,0.0967741935483871,0.9032258064516128,0.892018779342723,0.812206572769953,0.1055276381909547,0.2072892938496583,0.7927107061503417,0.8513513513513513,0.3967181467181467,0.0796575469942304,0.1105151003012712,0.1105151003012712,0.1453564116880699,0.1520317436990227,0.0066753320109527,0.3112863798166428,2.047313839852798,0.8310648518815053,0.8283157038242474,0.3703703703703703,0.1075268817204301,0.8924731182795699,0.8591549295774648,0.8262910798122066,0.1438127090301003,0.2168949771689497,0.7831050228310502,0.8252895752895753,0.4140926640926641,0.22655766134027,0.1093680954485196,0.1093680954485196,0.2570915397002353,0.1622109294446899,0.0948806102555454,0.2964784814547559,1.9954254965334215,223.06,0.23432294628816946,-0.10700273425336038
0.0,0.5,0.8582866293034428,0.8535980148883374,0.1851851851851851,0.0967741935483871,0.9032258064516128,0.892018779342723,0.812206572769953,0.1055276381909547,0.2072892938496583,0.7927107061503417,0.8513513513513513,0.3967181467181467,0.0796575469942304,0.1105151003012712,0.1105151003012712,0.1453564116880699,0.1520317436990227,0.0066753320109527,0.3112863798166428,2.047313839852798,0.8310648518815053,0.8283157038242474,0.3703703703703703,0.1075268817204301,0.8924731182795699,0.8591549295774648,0.8262910798122066,0.1438127090301003,0.2168949771689497,0.7831050228310502,0.8252895752895753,0.4140926640926641,0.22655766134027,0.1093680954485196,0.1093680954485196,0.2570915397002353,0.1622109294446899,0.0948806102555454,0.2964784814547559,1.9954254965334215,163.33,0.23432294628816946,-0.10700273425336038
0.0,1.0,0.8582866293034428,0.8535980148883374,0.1851851851851851,0.0967741935483871,0.9032258064516128,0.892018779342723,0.812206572769953,0.1055276381909547,0.2072892938496583,0.7927107061503417,0.8513513513513513,0.3967181467181467,0.0796575469942304,0.1105151003012712,0.1105151003012712,0.1453564116880699,0.1520317436990227,0.0066753320109527,0.3112863798166428,2.047313839852798,0.8310648518815053,0.8283157038242474,0.3703703703703703,0.1075268817204301,0.8924731182795699,0.8591549295774648,0.8262910798122066,0.1438127090301003,0.2168949771689497,0.7831050228310502,0.8252895752895753,0.4140926640926641,0.22655766134027,0.1093680954485196,0.1093680954485196,0.2570915397002353,0.1622109294446899,0.0948806102555454,0.2964784814547559,1.9954254965334215,205.84,0.23432294628816946,-0.10700273425336038
0.0,3.0,0.8582866293034428,0.8535980148883374,0.1851851851851851,0.0967741935483871,0.9032258064516128,0.892018779342723,0.812206572769953,0.1055276381909547,0.2072892938496583,0.7927107061503417,0.8513513513513513,0.3967181467181467,0.0796575469942304,0.1105151003012712,0.1105151003012712,0.1453564116880699,0.1520317436990227,0.0066753320109527,0.3112863798166428,2.047313839852798,0.8310648518815053,0.8283157038242474,0.3703703703703703,0.1075268817204301,0.8924731182795699,0.8591549295774648,0.8262910798122066,0.1438127090301003,0.2168949771689497,0.7831050228310502,0.8252895752895753,0.4140926640926641,0.22655766134027,0.1093680954485196,0.1093680954485196,0.2570915397002353,0.1622109294446899,0.0948806102555454,0.2964784814547559,1.9954254965334215,379.89,0.23432294628816946,-0.10700273425336038
0.0,10.0,0.8582866293034428,0.8535980148883374,0.1851851851851851,0.0967741935483871,0.9032258064516128,0.892018779342723,0.812206572769953,0.1055276381909547,0.2072892938496583,0.7927107061503417,0.8513513513513513,0.3967181467181467,0.0796575469942304,0.1105151003012712,0.1105151003012712,0.1453564116880699,0.1520317436990227,0.0066753320109527,0.3112863798166428,2.047313839852798,0.8310648518815053,0.8283157038242474,0.3703703703703703,0.1075268817204301,0.8924731182795699,0.8591549295774648,0.8262910798122066,0.1438127090301003,0.2168949771689497,0.7831050228310502,0.8252895752895753,0.4140926640926641,0.22655766134027,0.1093680954485196,0.1093680954485196,0.2570915397002353,0.1622109294446899,0.0948806102555454,0.2964784814547559,1.9954254965334215,542.23,0.23432294628816946,-0.10700273425336038
0.025,0.1,0.8566853482786229,0.8521882741535921,0.1851851851851851,0.0913978494623656,0.9086021505376344,0.8967136150234741,0.8169014084507042,0.1088777219430485,0.2095671981776765,0.7904328018223234,0.8484555984555985,0.3976833976833976,0.0763074632421366,0.1181693487153109,0.1181693487153109,0.1470314535641168,0.150482523820021,0.0034510702559042,0.3039906052816149,2.054150091927026,0.8326661329063251,0.8293877551020408,0.3703703703703703,0.1182795698924731,0.8817204301075269,0.8497652582159625,0.8169014084507042,0.1387959866220735,0.2146118721461187,0.7853881278538812,0.8291505791505791,0.4121621621621621,0.2315743837482967,0.0963323022536455,0.0963323022536456,0.254583178496222,0.1664457210192959,0.088137457476926,0.3114780584863016,1.9819902543829289,212.29,0.21927169067120966,-0.10485748049599292
0.025,0.5,0.8566853482786229,0.8521882741535921,0.1851851851851851,0.0913978494623656,0.9086021505376344,0.8967136150234741,0.8169014084507042,0.1088777219430485,0.2095671981776765,0.7904328018223234,0.8484555984555985,0.3976833976833976,0.0763074632421366,0.1181693487153109,0.1181693487153109,0.1470314535641168,0.150482523820021,0.0034510702559042,0.3039906052816149,2.054150091927026,0.8326661329063251,0.8293877551020408,0.3703703703703703,0.1182795698924731,0.8817204301075269,0.8497652582159625,0.8169014084507042,0.1387959866220735,0.2146118721461187,0.7853881278538812,0.8291505791505791,0.4121621621621621,0.2315743837482967,0.0963323022536455,0.0963323022536456,0.254583178496222,0.1664457210192959,0.088137457476926,0.3114780584863016,1.9819902543829289,159.12,0.21927169067120966,-0.10485748049599292
0.025,1.0,0.8542834267413931,0.8488372093023255,0.2222222222222222,0.1129032258064516,0.8870967741935484,0.8732394366197183,0.8028169014084507,0.1038525963149078,0.2118451025056947,0.7881548974943052,0.8503861003861004,0.3938223938223938,0.1183696259073143,0.0989418766992431,0.0989418766992431,0.163037409268565,0.1623741641560732,0.0006632451124918,0.325289310144662,2.0385252175000828,0.8350680544435548,0.8327922077922078,0.4444444444444444,0.1075268817204301,0.8924731182795699,0.8497652582159625,0.8356807511737089,0.1387959866220735,0.2077625570776255,0.7922374429223744,0.832046332046332,0.415057915057915,0.3056484578223708,0.1002356753571954,0.1002356753571954,0.291620215533259,0.1576447193990278,0.1339754961342311,0.2809154106827622,2.01340752873735,203.91,0.3579517821277988,-0.07054349433254481
0.025,3.0,0.8566853482786229,0.8519437551695617,0.1481481481481481,0.1129032258064516,0.8870967741935484,0.8826291079812206,0.7934272300469484,0.1088777219430485,0.2027334851936218,0.7972665148063781,0.8513513513513513,0.4005791505791505,0.0392704262050995,0.0898302593871702,0.0898302593871702,0.1285129350455983,0.1578183555000367,0.0293054204544383,0.3446205895347699,1.9807002164062275,0.8286629303442754,0.8268608414239482,0.3703703703703703,0.0967741935483871,0.9032258064516128,0.8685446009389671,0.8356807511737089,0.1521739130434782,0.2168949771689497,0.7831050228310502,0.8204633204633205,0.4189189189189189,0.218196457326892,0.1201207836205626,0.1201207836205626,0.2612721417069243,0.1568345853586684,0.1044375563482558,0.2827819582299277,1.9948507777633837,381.06,0.25207396867039544,-0.13934671176581026
0.025,10.0,0.855884707766213,0.8512396694214877,0.1481481481481481,0.0913978494623656,0.9086021505376344,0.9014084507042254,0.812206572769953,0.1105527638190954,0.2118451025056947,0.7881548974943052,0.8465250965250966,0.3976833976833976,0.0375953843290526,0.1204472530433291,0.1204472530433291,0.1293504559836218,0.1516214759840302,0.0222710200004083,0.3117852361862718,2.0423446316285947,0.8286629303442754,0.8268608414239482,0.4444444444444444,0.1021505376344086,0.8978494623655914,0.8544600938967136,0.8403755868544601,0.1488294314381271,0.2146118721461187,0.7853881278538812,0.8233590733590733,0.4179536679536679,0.2956150130063173,0.1124613345117101,0.1124613345117101,0.2966369379412857,0.1583812048902636,0.1382557330510221,0.2742469140590071,2.01069073244911,552.06,0.37381889300999027,-0.130301812048712
