Model,FPR_AAE,FPR_SAE,FPR_Gap,FNR_AAE,FNR_SAE,FNR_Gap,DIfav,DIunfav
XGBoost,0.37037037023319613,0.13712374581710496,0.23324662441609118,0.09677419354318417,0.19863013698176643,0.10185594343858226,0.282312999766625,1.9994578233292826
ToxicBERT,0.481481481303155,0.19063545150182884,0.2908460298013261,0.13440860214331135,0.10502283104783053,0.029385771095480823,0.3579059191267266,1.6725490945203971
BERT,0.07407407404663922,0.03511705685560005,0.038957017191039174,0.032258064514394724,0.043378995432799564,0.01112093091840484,0.2529854699699249,2.0118650828047118
VS,0.2962962961865569,0.13712374581710496,0.15917255036945194,0.10215053762891663,0.22146118720955568,0.11931064958063906,0.3015110733379404,2.0122309410720454
