Model,F1,F1_Toxic,F1_NonToxic,FPR_AAE,FPR_SAE,FPR_Gap,FNR_AAE,FNR_SAE,FNR_Gap,DIfav,DIunfav
XGBoost,0.9311740840726783,0.9311740840726783,0.5641025593622813,0.8148148145130315,0.5301003344392959,0.28471448007373557,0.012972972972832725,0.04197416974150381,0.029001196768671085,0.1327764878232782,1.1347565210817783
ToxicBERT,0.9119135960865338,0.9119135960865338,0.6543046309011623,0.3333333332098765,0.2040133779230098,0.1293199552868667,0.1513513513497151,0.11577490774854347,0.03557644360117164,0.6314484288091066,1.1314060537004533
BERT,0.9796905172405976,0.9796905172405976,0.8977272677137665,0.44444444427983537,0.10033444815885728,0.3441099961209781,0.007567567567485756,0.0216789667895679,0.014111399222082145,0.10926523939307757,1.238917834784184
