lambda_adv,adv_hidden,adv_lr,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec
0.25,128,0.001,,0.5,0.5,0.8867366155501749,0.9343520973023546,0.9259259259259259,0.0075675675675675675,0.9924324324324324,0.9663865546218487,0.990546218487395,0.5008375209380235,0.04151291512915129,0.9584870848708487,0.8593128390596745,0.8596745027124774,0.42508840498790246,0.033945347561583725,0.03394534756158374,0.7133817234319747,0.02454024134835943,0.6888414820836153,0.06737037118443835,1.1522340186194264,0.8916083916083916,0.9371196754563894,0.7407407407407407,0.008648648648648649,0.9913513513513513,0.9705882352941176,0.9842436974789915,0.4899665551839465,0.03782287822878229,0.9621771217712177,0.8644251626898047,0.8600867678958786,0.2507741855567942,0.02917422958013364,0.029174229580133604,0.6153536479623436,0.02323576343871547,0.5921178845236281,0.11261480531830464,1.1443539451761497,347.64
0.25,128,0.001,0.85,0.8673469387755103,0.7040816326530612,0.8735539413505515,0.9227735787052251,0.2962962962962963,0.07675675675675675,0.9232432432432433,0.917016806722689,0.9054621848739496,0.2964824120603015,0.09870848708487084,0.9012915129151291,0.8585895117540687,0.7707052441229656,0.00018611576400523466,0.021951730328114094,0.02195173032811415,0.2963893541782989,0.0877326219208138,0.20865673225748513,0.4122981820559694,1.1748488543838103,0.864712210866057,0.9173920183938249,0.37037037037037035,0.09297297297297297,0.907027027027027,0.8991596638655462,0.8918067226890757,0.32274247491638797,0.09870848708487084,0.9012915129151291,0.8528561099060015,0.7762111352133044,0.04762789545398238,0.005735514111897877,0.005735514111897877,0.34655642264337916,0.0958407300289219,0.25071569261445725,0.48346137587960425,1.1489228519696213,347.64
0.25,128,0.001,0.9,0.8673469387755103,0.7040816326530612,0.8735539413505515,0.9227735787052251,0.2962962962962963,0.07675675675675675,0.9232432432432433,0.917016806722689,0.9054621848739496,0.2964824120603015,0.09870848708487084,0.9012915129151291,0.8585895117540687,0.7707052441229656,0.00018611576400523466,0.021951730328114094,0.02195173032811415,0.2963893541782989,0.0877326219208138,0.20865673225748513,0.4122981820559694,1.1748488543838103,0.864712210866057,0.9173920183938249,0.37037037037037035,0.09297297297297297,0.907027027027027,0.8991596638655462,0.8918067226890757,0.32274247491638797,0.09870848708487084,0.9012915129151291,0.8528561099060015,0.7762111352133044,0.04762789545398238,0.005735514111897877,0.005735514111897877,0.34655642264337916,0.0958407300289219,0.25071569261445725,0.48346137587960425,1.1489228519696213,347.64
0.25,128,0.001,0.93,0.8673469387755103,0.7040816326530612,0.8735539413505515,0.9227735787052251,0.2962962962962963,0.07675675675675675,0.9232432432432433,0.917016806722689,0.9054621848739496,0.2964824120603015,0.09870848708487084,0.9012915129151291,0.8585895117540687,0.7707052441229656,0.00018611576400523466,0.021951730328114094,0.02195173032811415,0.2963893541782989,0.0877326219208138,0.20865673225748513,0.4122981820559694,1.1748488543838103,0.864712210866057,0.9173920183938249,0.37037037037037035,0.09297297297297297,0.907027027027027,0.8991596638655462,0.8918067226890757,0.32274247491638797,0.09870848708487084,0.9012915129151291,0.8528561099060015,0.7762111352133044,0.04762789545398238,0.005735514111897877,0.005735514111897877,0.34655642264337916,0.0958407300289219,0.25071569261445725,0.48346137587960425,1.1489228519696213,347.64
0.25,128,0.001,0.95,0.8673469387755103,0.7040816326530612,0.8735539413505515,0.9227735787052251,0.2962962962962963,0.07675675675675675,0.9232432432432433,0.917016806722689,0.9054621848739496,0.2964824120603015,0.09870848708487084,0.9012915129151291,0.8585895117540687,0.7707052441229656,0.00018611576400523466,0.021951730328114094,0.02195173032811415,0.2963893541782989,0.0877326219208138,0.20865673225748513,0.4122981820559694,1.1748488543838103,0.864712210866057,0.9173920183938249,0.37037037037037035,0.09297297297297297,0.907027027027027,0.8991596638655462,0.8918067226890757,0.32274247491638797,0.09870848708487084,0.9012915129151291,0.8528561099060015,0.7762111352133044,0.04762789545398238,0.005735514111897877,0.005735514111897877,0.34655642264337916,0.0958407300289219,0.25071569261445725,0.48346137587960425,1.1489228519696213,347.64
0.25,128,0.001,0.97,0.8673469387755103,0.7040816326530612,0.8735539413505515,0.9227735787052251,0.2962962962962963,0.07675675675675675,0.9232432432432433,0.917016806722689,0.9054621848739496,0.2964824120603015,0.09870848708487084,0.9012915129151291,0.8585895117540687,0.7707052441229656,0.00018611576400523466,0.021951730328114094,0.02195173032811415,0.2963893541782989,0.0877326219208138,0.20865673225748513,0.4122981820559694,1.1748488543838103,0.864712210866057,0.9173920183938249,0.37037037037037035,0.09297297297297297,0.907027027027027,0.8991596638655462,0.8918067226890757,0.32274247491638797,0.09870848708487084,0.9012915129151291,0.8528561099060015,0.7762111352133044,0.04762789545398238,0.005735514111897877,0.005735514111897877,0.34655642264337916,0.0958407300289219,0.25071569261445725,0.48346137587960425,1.1489228519696213,347.64
0.25,128,0.001,0.99,0.8183673469387756,0.5571428571428572,0.880548829701372,0.9294790343074968,0.4444444444444444,0.05405405405405406,0.9459459459459459,0.9348739495798319,0.9317226890756303,0.4438860971524288,0.05396678966789668,0.9460332103321033,0.8618444846292947,0.8376130198915009,0.000558347292015593,8.726438615738047e-05,8.726438615735965e-05,0.4441652707984366,0.05401042186097536,0.3901548489374612,0.42046047456603614,1.112354578815852,0.8808499193114577,0.9295595484178725,0.4074074074074074,0.0681081081081081,0.9318918918918919,0.9222689075630253,0.917016806722689,0.43812709030100333,0.04935424354243542,0.9506457564575646,0.8665943600867679,0.8398409255242227,0.030719682893595945,0.018753864565672684,0.01875386456567263,0.42276724885420536,0.058731175825271764,0.3640360730289336,0.5181297929426006,1.0918934383095933,347.64
0.25,128,0.0003,,0.5,0.5,0.8870056497175142,0.9345386533665836,0.9259259259259259,0.005405405405405406,0.9945945945945946,0.9684873949579832,0.9926470588235294,0.5025125628140703,0.04151291512915129,0.9584870848708487,0.8589511754068716,0.8600361663652802,0.4234133631118556,0.036107509723745886,0.03610750972374599,0.7142192443699982,0.02345916026727835,0.6907600841027198,0.05253457596992267,1.1541922143539294,0.885691231845078,0.9339344007461526,0.7777777777777778,0.00972972972972973,0.9902702702702703,0.9684873949579832,0.9842436974789915,0.5267558528428093,0.03690036900369004,0.9630996309963099,0.8571945046999276,0.868763557483731,0.25102192493496844,0.02717063927396031,0.02717063927396035,0.6522668153102935,0.023315049366709882,0.6289517659435836,0.1200604117141554,1.132924692422053,166.33
0.25,128,0.0003,0.85,0.6387755102040816,0.3938775510204082,0.8818940005380683,0.9323261908432249,0.5925925925925926,0.01945945945945946,0.9805405405405405,0.9642857142857143,0.9695378151260504,0.592964824120603,0.0235239852398524,0.9764760147601476,0.8535262206148282,0.8936708860759494,0.0003722315280104693,0.004064525780392941,0.004064525780392958,0.5927787083565978,0.021491722349655927,0.5712869860069419,0.28648956889467353,1.0848935770239667,0.8765465303926843,0.9295688200092067,0.6666666666666666,0.02054054054054054,0.9794594594594594,0.9611344537815126,0.9705882352941176,0.6304347826086957,0.020756457564575646,0.9792435424354243,0.8474331164135936,0.9038322487346349,0.03623188405797095,0.00021591702403510674,0.00021591702403511714,0.6485507246376812,0.02064849905255809,0.6279022255851231,0.30583809292101116,1.0738588116482377,166.33
0.25,128,0.0003,0.9,0.6387755102040816,0.3938775510204082,0.8818940005380683,0.9323261908432249,0.5925925925925926,0.01945945945945946,0.9805405405405405,0.9642857142857143,0.9695378151260504,0.592964824120603,0.0235239852398524,0.9764760147601476,0.8535262206148282,0.8936708860759494,0.0003722315280104693,0.004064525780392941,0.004064525780392958,0.5927787083565978,0.021491722349655927,0.5712869860069419,0.28648956889467353,1.0848935770239667,0.8765465303926843,0.9295688200092067,0.6666666666666666,0.02054054054054054,0.9794594594594594,0.9611344537815126,0.9705882352941176,0.6304347826086957,0.020756457564575646,0.9792435424354243,0.8474331164135936,0.9038322487346349,0.03623188405797095,0.00021591702403510674,0.00021591702403511714,0.6485507246376812,0.02064849905255809,0.6279022255851231,0.30583809292101116,1.0738588116482377,166.33
