lambda_adv,adv_c,min_f1_ratio,min_coverage,t_aae,delta_aae,t_sae,delta_sae,val_coverage,val_abstain_rate,val_sel_accuracy,val_sel_f1,val_AAE_coverage,val_AAE_abstain_rate,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_pos_rate,val_SAE_coverage,val_SAE_abstain_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_abstain_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,test_coverage,test_abstain_rate,test_sel_accuracy,test_sel_f1,test_AAE_coverage,test_AAE_abstain_rate,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_pos_rate,test_SAE_coverage,test_SAE_abstain_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_abstain_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,train_elapsed_sec
0.6,0.1,0.85,0.7,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.85,0.85,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.85,0.95,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.9,0.7,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.9,0.85,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.9,0.95,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.95,0.7,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.95,0.85,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.95,0.95,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
0.6,0.1,0.99,0.7,0.74,0.0,0.54,0.0,1.0,0.0,0.8837772397094431,0.9319256224393319,1.0,0.0,0.48148148148148145,0.04432432432432432,0.9556756756756757,0.9422268907563025,1.0,0.0,0.474036850921273,0.04381918819188192,0.9561808118081181,0.8520795660036167,0.007444630560208443,0.0005051361324424006,0.0,0.47775916620137726,0.044071756258103126,0.43368740994327415,1.0,0.0,0.8795051102743411,0.9294932326093799,1.0,0.0,0.5555555555555556,0.03783783783783784,0.9621621621621622,0.9506302521008403,1.0,0.0,0.4899665551839465,0.04843173431734318,0.9515682656826568,0.8517715112075199,0.06558900037160909,0.010593896479505337,0.0,0.522761055369751,0.04313478607759051,0.4796262692921605,37.6
