lambda_adv,adv_c,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec
0.15,0.1,,0.5,0.5,0.8494795836669335,0.8459016393442623,0.14814814814814814,0.10215053763440861,0.8978494623655914,0.892018779342723,0.8028169014084507,0.12562814070351758,0.20501138952164008,0.7949886104783599,0.8407335907335908,0.4092664092664093,0.022520007444630563,0.10286085188723147,0.10286085188723149,0.13688814442583286,0.15358096357802434,0.01669281915219148,0.333793605690757,1.9615997394740132,0.833466773418735,0.8306188925081434,0.37037037037037035,0.11290322580645161,0.8870967741935484,0.8544600938967136,0.8215962441314554,0.14046822742474915,0.21232876712328766,0.7876712328767124,0.8291505791505791,0.4140926640926641,0.2299021429456212,0.09942554131683605,0.09942554131683601,0.25541929889755977,0.16261599646486963,0.09280330243269014,0.3044914133859657,1.9840878516667544,41.45
0.15,0.1,0.85,0.7693877551020408,0.589795918367347,0.8326661329063251,0.8155339805825242,0.07407407407407407,0.24193548387096775,0.7580645161290323,0.7793427230046949,0.6713615023474179,0.07370184254606366,0.26879271070615035,0.7312072892938497,0.8436293436293436,0.35231660231660233,0.0003722315280104138,0.0268572268351826,0.026857226835182546,0.07388795831006886,0.255364097288559,0.18147613897849016,0.5074060779602804,1.9055630046309375,0.8278622898318655,0.8167092924126172,0.18518518518518517,0.20967741935483872,0.7903225806451613,0.7934272300469484,0.7136150234741784,0.10869565217391304,0.2420091324200913,0.7579908675799086,0.834942084942085,0.3832046332046332,0.07648953301127213,0.03233171306525259,0.03233171306525262,0.1469404186795491,0.225843275887465,0.0789028572079159,0.46431115942173334,1.862229584449749,41.45
0.15,0.1,0.9,0.7693877551020408,0.589795918367347,0.8326661329063251,0.8155339805825242,0.07407407407407407,0.24193548387096775,0.7580645161290323,0.7793427230046949,0.6713615023474179,0.07370184254606366,0.26879271070615035,0.7312072892938497,0.8436293436293436,0.35231660231660233,0.0003722315280104138,0.0268572268351826,0.026857226835182546,0.07388795831006886,0.255364097288559,0.18147613897849016,0.5074060779602804,1.9055630046309375,0.8278622898318655,0.8167092924126172,0.18518518518518517,0.20967741935483872,0.7903225806451613,0.7934272300469484,0.7136150234741784,0.10869565217391304,0.2420091324200913,0.7579908675799086,0.834942084942085,0.3832046332046332,0.07648953301127213,0.03233171306525259,0.03233171306525262,0.1469404186795491,0.225843275887465,0.0789028572079159,0.46431115942173334,1.862229584449749,41.45
0.15,0.1,0.93,0.7693877551020408,0.589795918367347,0.8326661329063251,0.8155339805825242,0.07407407407407407,0.24193548387096775,0.7580645161290323,0.7793427230046949,0.6713615023474179,0.07370184254606366,0.26879271070615035,0.7312072892938497,0.8436293436293436,0.35231660231660233,0.0003722315280104138,0.0268572268351826,0.026857226835182546,0.07388795831006886,0.255364097288559,0.18147613897849016,0.5074060779602804,1.9055630046309375,0.8278622898318655,0.8167092924126172,0.18518518518518517,0.20967741935483872,0.7903225806451613,0.7934272300469484,0.7136150234741784,0.10869565217391304,0.2420091324200913,0.7579908675799086,0.834942084942085,0.3832046332046332,0.07648953301127213,0.03233171306525259,0.03233171306525262,0.1469404186795491,0.225843275887465,0.0789028572079159,0.46431115942173334,1.862229584449749,41.45
0.15,0.1,0.95,0.7693877551020408,0.589795918367347,0.8326661329063251,0.8155339805825242,0.07407407407407407,0.24193548387096775,0.7580645161290323,0.7793427230046949,0.6713615023474179,0.07370184254606366,0.26879271070615035,0.7312072892938497,0.8436293436293436,0.35231660231660233,0.0003722315280104138,0.0268572268351826,0.026857226835182546,0.07388795831006886,0.255364097288559,0.18147613897849016,0.5074060779602804,1.9055630046309375,0.8278622898318655,0.8167092924126172,0.18518518518518517,0.20967741935483872,0.7903225806451613,0.7934272300469484,0.7136150234741784,0.10869565217391304,0.2420091324200913,0.7579908675799086,0.834942084942085,0.3832046332046332,0.07648953301127213,0.03233171306525259,0.03233171306525262,0.1469404186795491,0.225843275887465,0.0789028572079159,0.46431115942173334,1.862229584449749,41.45
0.15,0.1,0.97,0.29591836734693877,0.2306122448979592,0.7982385908726981,0.8212765957446808,0.3333333333333333,0.04838709677419355,0.9516129032258065,0.9154929577464789,0.8732394366197183,0.32998324958123953,0.08428246013667426,0.9157175398633257,0.7741312741312741,0.5781853281853282,0.00335008375209378,0.03589536336248071,0.03589536336248078,0.3316582914572864,0.0663347784554339,0.26532351300185253,0.30051244976810737,1.5103105854611192,0.7710168134507606,0.803030303030303,0.6296296296296297,0.053763440860215055,0.946236559139785,0.8732394366197183,0.9061032863849765,0.38127090301003347,0.07077625570776255,0.9292237442922374,0.75,0.612934362934363,0.24835872661959618,0.0170128148475475,0.017012814847547575,0.5054502663198316,0.06226984828398881,0.4431804180358428,0.24258601693758908,1.4783039202828454,41.45
0.15,0.1,0.99,0.4755102040816327,0.3122448979591837,0.8318654923939152,0.8411497730711044,0.2222222222222222,0.0913978494623656,0.9086021505376344,0.892018779342723,0.8215962441314554,0.22613065326633167,0.11845102505694761,0.8815489749430524,0.8194980694980695,0.5038610038610039,0.003908431044109456,0.02705317559458202,0.02705317559458198,0.22417643774427692,0.10492443725965661,0.11925200048462031,0.3595842166430345,1.63060094258077,0.7942353883106485,0.8128186453022578,0.4074074074074074,0.10215053763440861,0.8978494623655914,0.8591549295774648,0.8356807511737089,0.3010033444816054,0.10730593607305935,0.8926940639269406,0.7808880308880309,0.5511583011583011,0.10640406292580201,0.005155398438650746,0.00515539843865076,0.3542053759445064,0.10472823685373397,0.24947713909077243,0.3660962107339373,1.5162263441468606,41.45
0.15,0.5,,0.5,0.5,0.8454763811048839,0.8411522633744856,0.2222222222222222,0.0967741935483871,0.9032258064516129,0.8873239436619719,0.8169014084507042,0.12227805695142378,0.21867881548974943,0.7813211845102506,0.8368725868725869,0.4015444015444015,0.09994416527079843,0.12190462194136234,0.12190462194136231,0.172250139586823,0.15772650451906828,0.014523635067754725,0.3059518349603377,2.034398649227307,0.8342674139311449,0.8337349397590361,0.2962962962962963,0.10215053763440861,0.8978494623655914,0.8732394366197183,0.8215962441314554,0.15719063545150502,0.1963470319634703,0.8036529680365296,0.8262548262548263,0.4305019305019305,0.13910566084479126,0.0941964943290617,0.09419649432906174,0.22674346587390065,0.14924878479893947,0.07749468107496119,0.3132648946345557,1.9084611864316814,41.71
0.15,0.5,0.85,0.8836734693877552,0.7204081632653062,0.7926341072858286,0.7502410800385728,0.037037037037037035,0.40860215053763443,0.5913978494623656,0.6384976525821596,0.5211267605633803,0.03685092127303183,0.36446469248291574,0.6355353075170843,0.8243243243243243,0.2905405405405405,0.0001861157640052069,0.04413745805471869,0.04413745805471869,0.03694397915503443,0.3865334215102751,0.34958944235524064,0.6749832232156624,1.7936455327624394,0.8022417934347478,0.7710843373493976,0.07407407407407407,0.3387096774193548,0.6612903225806451,0.6948356807511737,0.5868544600938967,0.061872909698996656,0.3310502283105023,0.6689497716894978,0.8243243243243243,0.3185328185328185,0.012201164375077414,0.007659449108852523,0.007659449108852634,0.06797349188653537,0.33487995286492855,0.2669064609783932,0.6062588853567717,1.8423672774859154,41.71
0.15,0.5,0.9,0.6061224489795919,0.44285714285714284,0.8470776621297038,0.8463395012067578,0.14814814814814814,0.13440860215053763,0.8655913978494624,0.863849765258216,0.7746478873239436,0.1474036850921273,0.16856492027334852,0.8314350797266514,0.8436293436293436,0.4372586872586873,0.0007444630560208276,0.03415631812281089,0.03415631812281095,0.14777591662013773,0.15148676121194307,0.0037108445918053456,0.40045417595830035,1.7716008673594275,0.8118494795836669,0.8151062155782848,0.25925925925925924,0.13978494623655913,0.8602150537634409,0.8450704225352113,0.784037558685446,0.2040133779264214,0.182648401826484,0.817351598173516,0.805019305019305,0.46332046332046334,0.05524588133283784,0.04286345558992488,0.04286345558992488,0.23163631859284034,0.16121667403152157,0.07041964456131877,0.4024048291959782,1.692214360972461,41.71
