lambda_adv,adv_c,min_f1_ratio,d_aae_0,d_sae_0,d_aae_1,d_sae_1,d_aae_2,d_sae_2,val_accuracy,val_f1_macro,val_f1_weighted,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_AAE_FPR_0,val_AAE_FNR_0,val_AAE_FPR_1,val_AAE_FNR_1,val_AAE_FPR_2,val_AAE_FNR_2,val_SAE_FPR_0,val_SAE_FNR_0,val_SAE_FPR_1,val_SAE_FNR_1,val_SAE_FPR_2,val_SAE_FNR_2,val_FPR_gap_0,val_FNR_gap_0,val_FPR_gap_1,val_FNR_gap_1,val_FPR_gap_2,val_FNR_gap_2,val_mean_FPR_gap,val_mean_FNR_gap,val_AAE_mean_FPR,val_SAE_mean_FPR,val_AAE_mean_FNR,val_SAE_mean_FNR,val_mean_FPR,val_mean_FNR,val_abs_balance,test_accuracy,test_f1_macro,test_f1_weighted,test_f1_class_0,test_f1_class_1,test_f1_class_2,test_AAE_FPR_0,test_AAE_FNR_0,test_AAE_FPR_1,test_AAE_FNR_1,test_AAE_FPR_2,test_AAE_FNR_2,test_SAE_FPR_0,test_SAE_FNR_0,test_SAE_FPR_1,test_SAE_FNR_1,test_SAE_FPR_2,test_SAE_FNR_2,test_FPR_gap_0,test_FNR_gap_0,test_FPR_gap_1,test_FNR_gap_1,test_FPR_gap_2,test_FNR_gap_2,test_mean_FPR_gap,test_mean_FNR_gap,test_AAE_mean_FPR,test_SAE_mean_FPR,test_AAE_mean_FNR,test_SAE_mean_FNR,test_mean_FPR,test_mean_FNR,test_abs_balance,train_elapsed_sec
0.25,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.8375033629270917,0.5404995436999971,0.8108147388843489,0.6236363636363637,0.09282700421940929,0.9050352632442185,0.016216216216040906,0.7777777774897119,0.0010905125408823282,0.9999999997142857,0.9032258063059313,0.017977528089685644,0.054428044280191754,0.4355108877648993,0.0038684719535633716,0.9388888888367284,0.5199485199418282,0.05181086519088626,0.03821182806415085,0.34226688972481256,0.0027779594126810434,0.06111111087755727,0.3832772863641031,0.03383333710120062,0.14142235794697833,0.14573711256785682,0.30684417835428485,0.19274834539186111,0.598585101764561,0.47540354726417133,0.24979626187307297,0.5369943245143662,0.11409583296242373,0.841312533620226,0.5348391381754464,0.813674128656746,0.6349775784753363,0.0611353711790393,0.9084044648719632,0.007567567567485756,0.7777777774897119,0.0010893246187245172,0.9999999997058824,0.885245901494222,0.007856341189586348,0.05950184501817573,0.41806020066190536,0.0027068832173135853,0.961111111057716,0.5038560411246291,0.05281690140818503,0.05193427745068997,0.35971757682780653,0.0016175585985890681,0.03888888864816642,0.3813898603695929,0.04496056021859868,0.14498056547295732,0.14785567523152388,0.29796759789347743,0.1886882564533728,0.5952113727950602,0.47732940437593546,0.2433279271734251,0.5362703885854978,0.10927934144010462,77.36
0.25,0.1,0.85,1.0,-1.0,1.0,-0.5,0.0,0.0,0.8157115953726123,0.4797383221276819,0.7763613097645308,0.4860813704496788,0.0603448275862069,0.8927887683471601,0.04648648648598393,0.5925925923731138,0.00545256270441164,0.9714285711510204,0.7580645160067637,0.05056179775224088,0.018450184501759916,0.6381909547631793,0.0019342359767816858,0.966666666612963,0.7014157014066742,0.01760563380272834,0.02803630198422401,0.04559836239006554,0.0035183267276299546,0.004761904538057471,0.056648814600089525,0.032956163949512535,0.02940114777064783,0.027772143625878515,0.2700011883990531,0.24060004062840526,0.5381943204254583,0.5408210850596236,0.2553006145137292,0.539507702742541,0.029401147770647867,0.8254437869822485,0.48986837021020985,0.787185844553415,0.5263157894736842,0.04424778761061947,0.8990415335463259,0.030270270269943025,0.5185185183264746,0.0032679738561735513,0.9705882350086505,0.7377049179118517,0.03254769921400059,0.0216789667895679,0.6036789297557913,0.0015467904098934774,0.9777777777234568,0.6709511568037153,0.018108651911377723,0.008591303480375123,0.08516041142931674,0.001721183446280074,0.0071895427148062074,0.06675376110813636,0.014439047302622864,0.025688749344930515,0.035596333815581936,0.2570810540126561,0.23139230466772556,0.5072181508497086,0.5331884531302086,0.24423667934019083,0.5202033019899586,0.02568874934493051,77.36
0.25,0.1,0.9,1.0,-0.5,1.0,-0.5,0.0,0.0,0.8235135862254507,0.4990916453391098,0.7899155650374899,0.547783251231527,0.05194805194805195,0.8975436328377505,0.04648648648598393,0.5925925923731138,0.00545256270441164,0.9714285711510204,0.7580645160067637,0.05056179775224088,0.03228782287807985,0.5527638190862183,0.0019342359767816858,0.9722222221682099,0.6254826254745756,0.028169014084365347,0.014198663607904075,0.03982877328689549,0.0035183267276299546,0.0007936510171894229,0.13258189053218816,0.022392783667875532,0.050099626955907396,0.021005069323986814,0.2700011883990531,0.21990156144314568,0.5381943204254583,0.5177183517795978,0.24495137492109942,0.5279563361025281,0.050099626955907445,0.834319526627219,0.5114951066472299,0.8012801928805334,0.5859375,0.04424778761061947,0.9043000323310701,0.030270270269943025,0.5185185183264746,0.0032679738561735513,0.9705882350086505,0.7377049179118517,0.03254769921400059,0.032749077490623855,0.5200668896234103,0.0015467904098934774,0.9777777777234568,0.5976863753136544,0.026659959758417204,0.002478807220680831,0.0015483712969357466,0.001721183446280074,0.0071895427148062074,0.14001854259819724,0.005887739455583383,0.048072844421719385,0.004875217822441779,0.2570810540126561,0.21066074773805724,0.5072181508497086,0.5081682090350947,0.23387090087535667,0.5076931799424016,0.04642030627459884,77.36
0.25,0.1,0.93,1.0,-0.5,1.0,0.0,0.0,0.0,0.8243206887274684,0.517722069132111,0.7934251275754357,0.5483234714003945,0.10699588477366255,0.8978468512222761,0.04648648648598393,0.5925925923731138,0.00545256270441164,0.9714285711510204,0.7580645160067637,0.05056179775224088,0.03182656826553586,0.5527638190862183,0.0038684719535633716,0.9333333332814815,0.6164736164656824,0.030181086518962872,0.01465991822044807,0.03982877328689549,0.0015840907508482688,0.038095237869538945,0.14159089954108128,0.020380711233278007,0.05261163617079254,0.03276824079657081,0.2700011883990531,0.21738955222826054,0.5381943204254583,0.5054260796288875,0.24369537031365684,0.5218102000271729,0.05261163617079259,0.834319526627219,0.5224877063779904,0.8030479249836853,0.5865102639296188,0.07692307692307693,0.9040297782812753,0.030270270269943025,0.5185185183264746,0.0032679738561735513,0.9705882350086505,0.7377049179118517,0.03254769921400059,0.03228782287807985,0.5200668896234103,0.0030935808197869548,0.9555555555024691,0.5938303341825986,0.02867203219301473,0.002017552608136828,0.0015483712969357466,0.00017439303638659654,0.015032679506181479,0.1438745837292531,0.003875667020985858,0.04868884312459218,0.006818905941367695,0.2570810540126561,0.2097372459601551,0.5072181508497086,0.5014314924396314,0.2334091499864056,0.50432482164467,0.04734380805250096,77.36
0.25,0.1,0.95,1.5,0.0,1.0,-0.5,0.0,0.0,0.8251277912294861,0.5177862258791303,0.7990089589540313,0.6041308089500861,0.05217391304347826,0.8970539556438265,0.07459459459378817,0.481481481303155,0.004362050163529313,0.9714285711510204,0.6935483869849115,0.07752808988676935,0.054428044280191754,0.4355108877648993,0.0019342359767816858,0.9722222221682099,0.5289575289507212,0.04979879275628874,0.020166550313596418,0.045970593538255666,0.002427814186747627,0.0007936510171894229,0.16459085803419027,0.027729297130480605,0.062395074178178106,0.024831180561975235,0.25750167724740963,0.19510660306923155,0.5101460474469816,0.4858439675631327,0.2263041401583206,0.4979950075050571,0.06239507417817808,0.8321678321678322,0.5202033814988739,0.8056285148090891,0.6220338983050847,0.03587443946188341,0.9027018067296536,0.06270270270202484,0.3333333332098765,0.0021786492374490343,0.9705882350086505,0.5901639343294813,0.0606060606053804,0.05996309963071973,0.4163879598592577,0.001160092807420108,0.9833333332787036,0.507712082255685,0.05130784708223689,0.002739603071305108,0.08305462664938118,0.0010185564300289264,0.012745098270053101,0.08245185207379635,0.009298213523143514,0.028736670525043462,0.03503264614752593,0.2183484287563184,0.18961175823127494,0.4548425429413025,0.4836763800733994,0.20398009349379667,0.469259461507351,0.028736670525043473,77.36
0.25,0.1,0.97,1.5,0.0,1.0,0.0,0.0,0.0,0.8256658595641646,0.5336931641602506,0.8019910990689323,0.6041308089500861,0.0995850622406639,0.8973636212900017,0.07459459459378817,0.481481481303155,0.004362050163529313,0.9714285711510204,0.6935483869849115,0.07752808988676935,0.054428044280191754,0.4355108877648993,0.0038684719535633716,0.9388888888367284,0.5199485199418282,0.05181086519088626,0.020166550313596418,0.045970593538255666,0.0004935782099659411,0.03253968231429205,0.17359986704308328,0.025717224695883084,0.06475333185554855,0.03474250018281027,0.25750167724740963,0.19274834539186111,0.5101460474469816,0.47540354726417133,0.22512501131963536,0.49277479735557644,0.06475333185554852,0.8321678321678322,0.5310870679445538,0.8073674730080563,0.6213921901528013,0.06926406926406926,0.9026049444167911,0.06270270270202484,0.3333333332098765,0.0021786492374490343,0.9705882350086505,0.5901639343294813,0.0606060606053804,0.05950184501817573,0.41806020066190536,0.0027068832173135853,0.961111111057716,0.5038560411246291,0.05281690140818503,0.0032008576838491107,0.08472686745202884,0.000528233979864551,0.009477123950934585,0.08630789320485222,0.007789159197195375,0.030012328289521956,0.0339977168667196,0.2183484287563184,0.1886882564533728,0.4548425429413025,0.47732940437593546,0.2035183426048456,0.466085973658619,0.029660172302945598,77.36
0.25,0.1,0.99,1.0,-0.5,1.0,0.5,-0.5,0.0,0.8181329028786656,0.5465362249381842,0.794378845273002,0.5405405405405406,0.20567375886524822,0.8933943754087639,0.07243243243164937,0.481481481303155,0.01744820065411725,0.8571428568979592,0.6290322579630593,0.08876404494282288,0.029981549815359866,0.5544388609622372,0.008510638297839417,0.8666666666185184,0.6010296010218658,0.03370221327950854,0.04245088261628951,0.07295737965908217,0.008937562356277833,0.009523809720559218,0.028002656941193527,0.05506183166331433,0.02646370063792029,0.04584767368098524,0.23963763034960864,0.21317392971168836,0.4757961277146457,0.4849359136200881,0.22640578003064848,0.4803660206673669,0.02646370063792028,0.8273265196342119,0.5501372288025347,0.8038865494932405,0.5771428571428572,0.17328519855595667,0.8999836307087903,0.05945945945881665,0.3333333332098765,0.016339869280867756,0.9411764703114187,0.5573770490889546,0.07070707070627713,0.03090405904044786,0.5234113712287055,0.009280742459360863,0.8777777777290123,0.5745501285273193,0.03370221327950854,0.02855540041836879,0.190078038018829,0.007059126821506893,0.06339869258240638,0.01717307943836477,0.03700485742676859,0.017595868892746818,0.09682719600933465,0.21105879260954633,0.20491164334237602,0.4484056247425241,0.4782971207457421,0.20798521797596117,0.46335137274413307,0.006147149267170304,77.36
0.25,0.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.8401937046004843,0.5262007875913394,0.8104633735011039,0.6268382352941176,0.04424778761061947,0.907516339869281,0.015135135134971512,0.7037037034430726,0.0,0.9999999997142857,0.8548387095395421,0.014606741572869586,0.050276752767295776,0.4422110552689747,0.002321083172138023,0.9722222221682099,0.530244530237706,0.044265593561145546,0.03514161763232426,0.26149264817409795,0.002321083172138023,0.0277777775460758,0.3245941793018361,0.02965885198827596,0.12068562670209947,0.1063097592361499,0.2899912815581712,0.19428078872571328,0.5727701482434093,0.4862329569994434,0.24213603514194226,0.5295015526214264,0.09571049283245794,0.8445400753093061,0.544051402246636,0.8174915943665221,0.6352087114337568,0.08547008547008547,0.9114754098360656,0.009729729729624543,0.7777777774897119,0.0010893246187245172,0.9999999997058824,0.885245901494222,0.010101010100896734,0.054428044280191754,0.42474916387249584,0.0034802784222603238,0.9444444443919753,0.4974293059062027,0.04527162977844431,0.04469831455056721,0.35302861361721605,0.002390953803535807,0.0555555553139071,0.3878165955880193,0.035170619677547574,0.14496862131404079,0.14791826286955692,0.2986883186141904,0.1851125428695516,0.595959595765497,0.4714884126809718,0.24190043074187098,0.5337240042232344,0.11357577574463879,73.62
0.25,0.5,0.85,1.5,-0.5,1.0,0.0,0.0,0.0,0.8178638687113263,0.4949688646971981,0.7857855175083974,0.538534728829686,0.05217391304347826,0.89419795221843,0.07243243243164937,0.481481481303155,0.0032715376226469845,0.9714285711510204,0.6774193547294485,0.07303370786434793,0.03551660516588784,0.5494137353341807,0.002321083172138023,0.9722222221682099,0.6203346203266367,0.031187122736261636,0.036915827265761536,0.06793225403102571,0.0009504544505089616,0.0007936510171894229,0.05708473440281181,0.0418465851280863,0.03165033870636077,0.03685749672543381,0.25104110826124826,0.21939076955488748,0.5086479201061744,0.517607693412884,0.23521593890806786,0.5131278067595293,0.031650338706360776,0.8310919849381387,0.5320033197711402,0.803683549576963,0.5863678804855276,0.10699588477366255,0.9026461940542306,0.06594594594523302,0.3333333332098765,0.006535947712347103,0.9999999997058824,0.5901639343294813,0.06734006733931155,0.032749077490623855,0.5050167223995816,0.0038669760247336932,0.9277777777262345,0.5706940873962636,0.028169014084365347,0.03319686845460917,0.1716833891897051,0.0026689716876134094,0.0722222219796479,0.019469846933217738,0.03917105325494621,0.01844522902514677,0.09435888814143306,0.22088194266235384,0.20243671363720706,0.4668911334183568,0.4869878380700605,0.21165932814978045,0.47693948574420864,0.01844522902514678,73.62
0.25,0.5,0.9,1.5,-0.5,1.0,0.0,0.0,0.0,0.8178638687113263,0.4949688646971981,0.7857855175083974,0.538534728829686,0.05217391304347826,0.89419795221843,0.07243243243164937,0.481481481303155,0.0032715376226469845,0.9714285711510204,0.6774193547294485,0.07303370786434793,0.03551660516588784,0.5494137353341807,0.002321083172138023,0.9722222221682099,0.6203346203266367,0.031187122736261636,0.036915827265761536,0.06793225403102571,0.0009504544505089616,0.0007936510171894229,0.05708473440281181,0.0418465851280863,0.03165033870636077,0.03685749672543381,0.25104110826124826,0.21939076955488748,0.5086479201061744,0.517607693412884,0.23521593890806786,0.5131278067595293,0.031650338706360776,0.8310919849381387,0.5320033197711402,0.803683549576963,0.5863678804855276,0.10699588477366255,0.9026461940542306,0.06594594594523302,0.3333333332098765,0.006535947712347103,0.9999999997058824,0.5901639343294813,0.06734006733931155,0.032749077490623855,0.5050167223995816,0.0038669760247336932,0.9277777777262345,0.5706940873962636,0.028169014084365347,0.03319686845460917,0.1716833891897051,0.0026689716876134094,0.0722222219796479,0.019469846933217738,0.03917105325494621,0.01844522902514677,0.09435888814143306,0.22088194266235384,0.20243671363720706,0.4668911334183568,0.4869878380700605,0.21165932814978045,0.47693948574420864,0.01844522902514678,73.62
