Model,Accuracy,F1,F1_Weighted,F1_NonToxic,F1_Hate,F1_Offensive,FPR_AAE,FNR_AAE,FPR_SAE,FNR_SAE,FPR_Gap,FNR_Gap
XGBoost,0.8426573426573427,0.5297767266013745,0.8131380680181672,0.6256880733944954,0.05333333333333334,0.9103087730762948,0.8148148145130315,0.0032432432432081813,0.4381270902936768,0.05581180811782375,0.3766877242193547,0.052568564874615566
BERT,0.9158149542764927,0.750921425961873,0.9094037327242207,0.8890662410215483,0.41297935103244837,0.9507186858316222,0.37037037023319613,0.011891891891763332,0.09698996655356204,0.027675276752639876,0.2733804036796341,0.015783384860876545
ToxicBERT,0.9147391070467994,0.7396779755223003,0.9061049125622516,0.8921330089213301,0.3785488958990536,0.9483520217465171,0.2592592591632373,0.008648648648555149,0.11371237458003826,0.023062730627199896,0.14554688458319903,0.014414081978644747
