accuracy,f1,FPR_AAE,FPR_SAE,FPR_gap,FNR_AAE,FNR_SAE,FNR_gap,DIfav,DIunfav,alpha_aae,beta_aae
0.7878302642113691,0.7636039250669046,0.0,0.11390284756928136,0.11390284756928136,0.6129032257734998,0.18906605922120578,0.423837166552294,1.1205928191046843,0.8259367324101108,0.6,-2.0
0.8126501200960768,0.796875,0.0,0.11390284756928136,0.11390284756928136,0.44623655911579374,0.18906605922120578,0.25717049989458796,0.8742213482376969,1.1815483810866863,0.6,-1.5
0.8286629303442754,0.8180272108843537,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.3279569892296797,0.18906605922120578,0.1388909300084739,0.6834821449858357,1.4568606252233898,0.6,-1.2
0.8342674139311449,0.8250211327134404,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.2903225806295525,0.18906605922120578,0.10125652140834673,0.6278498773707096,1.5371600297632617,0.6,-1.0
0.844675740592474,0.8377926421404682,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.22043010751503064,0.18906605922120578,0.03136404829382486,0.5245328089426181,1.6862874953373095,0.6,-0.8
0.8542834267413931,0.8500823723228995,0.18518518511659807,0.11390284756928136,0.07128233754731671,0.1397849462290438,0.18906605922120578,0.04928111299216198,0.3814784065037223,1.8927716784398372,0.6,-0.5
0.8590872698158527,0.855973813420622,0.22222222213991769,0.11390284756928136,0.10831937457063633,0.10215053762891663,0.18906605922120578,0.08691552159228916,0.31789867208643524,1.984542426485405,0.6,-0.2
0.8598879103282626,0.8571428571428571,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.09139784945745172,0.18906605922120578,0.09766820976375407,0.29405627167995263,2.0189564570024934,0.6,0.0
0.8614891913530824,0.8590057049714751,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.08064516128598681,0.18906605922120578,0.10842089793521897,0.27816133807563087,2.041899144013885,0.6,0.2
0.8126501200960768,0.796875,0.0,0.11390284756928136,0.11390284756928136,0.44623655911579374,0.18906605922120578,0.25717049989458796,0.8742213482376969,1.1815483810866863,0.8,-2.0
0.8310648518815053,0.8210347752332485,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.31182795697248233,0.18906605922120578,0.12276189775127655,0.6596397445793531,1.491274655740478,0.8,-1.5
0.8382706164931946,0.82996632996633,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.26344086020089025,0.18906605922120578,0.07437480097968446,0.5881125433599053,1.5945167472917416,0.8,-1.2
0.8454763811048839,0.8387635756056808,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.2150537634292982,0.18906605922120578,0.025987704208092405,0.5165853421404573,1.6977588388430056,0.8,-1.0
0.8518815052041633,0.8469809760132341,0.14814814809327845,0.11390284756928136,0.03424530052399709,0.16129032257197362,0.18906605922120578,0.027775736649232163,0.4212157405145267,1.8354149609113573,0.8,-0.8
0.8566853482786229,0.8529170090386196,0.18518518511659807,0.11390284756928136,0.07128233754731671,0.12365591397184646,0.18906605922120578,0.06541014524935933,0.3576360060972396,1.927185708956925,0.8,-0.5
0.8582866293034428,0.8552739165985282,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.10215053762891663,0.18906605922120578,0.08691552159228916,0.3099512052842744,1.9960137699911011,0.8,-0.2
0.8598879103282626,0.8571428571428571,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.09139784945745172,0.18906605922120578,0.09766820976375407,0.29405627167995263,2.0189564570024934,0.8,0.0
0.8614891913530824,0.8590057049714751,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.08064516128598681,0.18906605922120578,0.10842089793521897,0.27816133807563087,2.041899144013885,0.8,0.2
0.8286629303442754,0.8180272108843537,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.3279569892296797,0.18906605922120578,0.1388909300084739,0.6834821449858357,1.4568606252233898,1.0,-2.0
0.8382706164931946,0.82996632996633,0.07407407404663922,0.11390284756928136,0.039828773522642136,0.26344086020089025,0.18906605922120578,0.07437480097968446,0.5881125433599053,1.5945167472917416,1.0,-1.5
0.844675740592474,0.8383333333333334,0.14814814809327845,0.11390284756928136,0.03424530052399709,0.2096774193435657,0.18906605922120578,0.020611360122359923,0.4927429417339746,1.7321728693600935,1.0,-1.2
0.8518815052041633,0.8469809760132341,0.14814814809327845,0.11390284756928136,0.03424530052399709,0.16129032257197362,0.18906605922120578,0.027775736649232163,0.4212157405145267,1.8354149609113573,1.0,-1.0
0.8542834267413931,0.8500823723228995,0.18518518511659807,0.11390284756928136,0.07128233754731671,0.1397849462290438,0.18906605922120578,0.04928111299216198,0.3814784065037223,1.8927716784398372,1.0,-0.8
0.8574859887910328,0.8538587848932676,0.18518518511659807,0.11390284756928136,0.07128233754731671,0.118279569886114,0.18906605922120578,0.07078648933509178,0.34968853929507876,1.9386570524626212,1.0,-0.5
0.8582866293034428,0.8552739165985282,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.10215053762891663,0.18906605922120578,0.08691552159228916,0.3099512052842744,1.9960137699911011,1.0,-0.2
0.8598879103282626,0.8571428571428571,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.09139784945745172,0.18906605922120578,0.09766820976375407,0.29405627167995263,2.0189564570024934,1.0,0.0
0.8614891913530824,0.8590057049714751,0.2592592591632373,0.11390284756928136,0.1453564115939559,0.08064516128598681,0.18906605922120578,0.10842089793521897,0.27816133807563087,2.041899144013885,1.0,0.2
