lambda_adv,adv_c,min_f1_ratio,t_aae,t_sae,val_accuracy,val_f1,val_AAE_FPR,val_AAE_FNR,val_AAE_TPR,val_AAE_acc,val_AAE_pos_rate,val_SAE_FPR,val_SAE_FNR,val_SAE_TPR,val_SAE_acc,val_SAE_pos_rate,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_mean_FPR,val_mean_FNR,val_abs_balance,val_DIfav,val_DIunfav,test_accuracy,test_f1,test_AAE_FPR,test_AAE_FNR,test_AAE_TPR,test_AAE_acc,test_AAE_pos_rate,test_SAE_FPR,test_SAE_FNR,test_SAE_TPR,test_SAE_acc,test_SAE_pos_rate,test_FPR_gap,test_FNR_gap,test_TPR_gap,test_mean_FPR,test_mean_FNR,test_abs_balance,test_DIfav,test_DIunfav,train_elapsed_sec
0.15,0.1,,0.5,0.5,0.8870056497175142,0.9345794392523364,0.8518518518518519,0.011891891891891892,0.9881081081081081,0.9642857142857143,0.9842436974789915,0.509212730318258,0.03782287822878229,0.9621771217712177,0.8603978300180832,0.864376130198915,0.3426391215335939,0.025930986336890397,0.025930986336890394,0.6805322910850549,0.024857385060337092,0.6556749060247178,0.11617646202215791,1.1386752267970885,0.8878429263044648,0.9350163627863488,0.7407407407407407,0.011891891891891892,0.9881081081081081,0.967436974789916,0.9810924369747899,0.5083612040133779,0.03782287822878229,0.9621771217712177,0.8604483007953724,0.8640636297903109,0.23237953672736278,0.025930986336890397,0.025930986336890394,0.6245509723770593,0.024857385060337092,0.5996935873167222,0.1390912645757097,1.1354400206133881,34.87
0.15,0.1,0.85,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.1,0.9,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.1,0.93,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.1,0.95,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.1,0.97,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.1,0.99,0.7693877551020408,0.36122448979591837,0.8714016680118375,0.9263935940868494,0.6296296296296297,0.043243243243243246,0.9567567567567568,0.9401260504201681,0.9474789915966386,0.6298157453936348,0.020756457564575646,0.9792435424354243,0.8477396021699819,0.9037974683544304,0.00018611576400517915,0.0224867856786676,0.022486785678667576,0.6297226875116322,0.031999850403909444,0.5977228371077228,0.5459420042857063,1.0483310855455585,0.8706293706293706,0.9261023198648026,0.5555555555555556,0.04432432432432432,0.9556756756756757,0.9411764705882353,0.944327731092437,0.6471571906354515,0.017527675276752766,0.9824723247232472,0.8463485177151121,0.9099783080260304,0.09160163507989594,0.026796649047571557,0.026796649047571508,0.6013563730955036,0.030925999800538544,0.570430373294965,0.6184316413353425,1.037747507150411,34.87
0.15,0.5,,0.5,0.5,0.8827011030400861,0.9319175515302935,0.8888888888888888,0.012972972972972972,0.987027027027027,0.9621848739495799,0.9842436974789915,0.507537688442211,0.04474169741697417,0.9552583025830258,0.8553345388788427,0.8585895117540687,0.3813512004466778,0.031768724444001195,0.03176872444400125,0.6982132886655499,0.02885733519497357,0.6693559534705763,0.1114224383369769,1.1463495332067595,0.8881118881118881,0.9352831362787803,0.7777777777777778,0.008648648648648649,0.9913513513513513,0.9695378151260504,0.9852941176470589,0.5150501672240803,0.03643911439114391,0.9635608856088561,0.8600867678958786,0.8665943600867679,0.26272761055369753,0.02779046574249526,0.02779046574249522,0.646413972500929,0.02254388151989628,0.6238700909810327,0.11023432937440003,1.136972673326283,46.82
0.15,0.5,0.85,0.8183673469387756,0.573469387755102,0.8770513855259618,0.9272871917263326,0.4444444444444444,0.0627027027027027,0.9372972972972973,0.9264705882352942,0.9233193277310925,0.4455611390284757,0.05581180811808118,0.9441881918819188,0.8600361663652802,0.8365280289330922,0.001116694584031297,0.0068908945846215194,0.006890894584621554,0.44500279173646007,0.05925725541039194,0.3857455363260681,0.46907532268494817,1.1037517988144114,0.8773534158149543,0.9274347549331636,0.4444444444444444,0.06918918918918919,0.9308108108108109,0.9201680672268907,0.917016806722689,0.4431438127090301,0.05304428044280443,0.9469557195571956,0.8626174981923355,0.8380332610267535,0.001300631735414337,0.01614490874638476,0.016144908746384745,0.4437941285767373,0.06111673481599681,0.38267739376074045,0.512347094717682,1.0942486872856079,46.82
0.15,0.5,0.9,0.8183673469387756,0.573469387755102,0.8770513855259618,0.9272871917263326,0.4444444444444444,0.0627027027027027,0.9372972972972973,0.9264705882352942,0.9233193277310925,0.4455611390284757,0.05581180811808118,0.9441881918819188,0.8600361663652802,0.8365280289330922,0.001116694584031297,0.0068908945846215194,0.006890894584621554,0.44500279173646007,0.05925725541039194,0.3857455363260681,0.46907532268494817,1.1037517988144114,0.8773534158149543,0.9274347549331636,0.4444444444444444,0.06918918918918919,0.9308108108108109,0.9201680672268907,0.917016806722689,0.4431438127090301,0.05304428044280443,0.9469557195571956,0.8626174981923355,0.8380332610267535,0.001300631735414337,0.01614490874638476,0.016144908746384745,0.4437941285767373,0.06111673481599681,0.38267739376074045,0.512347094717682,1.0942486872856079,46.82
