lambda_adv,adv_c,t_aae,t_sae,val_acc,val_f1,val_AAE_FPR,val_SAE_FPR,val_AAE_FNR,val_SAE_FNR,val_AAE_TPR,val_SAE_TPR,val_AAE_acc,val_SAE_acc,val_FPR_gap,val_FNR_gap,val_TPR_gap,val_DIfav,val_DIunfav
0.0,0.5,0.5,0.5,0.8542834267413931,0.8495867768595041,0.22222222213991769,0.10887772194122483,0.12365591397184646,0.20045558086103746,0.8763440859743901,0.7995444191161835,0.863849765258216,0.8523166023166023,0.11334450019869285,0.076799666889191,0.0767996668582066,0.3451764291860221,1.9759389179276716
0.0,1.0,0.5,0.5,0.8542834267413931,0.8495867768595041,0.22222222213991769,0.10887772194122483,0.12365591397184646,0.20045558086103746,0.8763440859743901,0.7995444191161835,0.863849765258216,0.8523166023166023,0.11334450019869285,0.076799666889191,0.0767996668582066,0.3451764291860221,1.9759389179276716
0.0,2.0,0.5,0.5,0.8542834267413931,0.8495867768595041,0.22222222213991769,0.10887772194122483,0.12365591397184646,0.20045558086103746,0.8763440859743901,0.7995444191161835,0.863849765258216,0.8523166023166023,0.11334450019869285,0.076799666889191,0.0767996668582066,0.3451764291860221,1.9759389179276716
0.05,0.5,0.5,0.5,0.8462770216172938,0.8426229508196721,0.22222222213991769,0.12562814070141326,0.09677419354318417,0.21184510250086913,0.9032258064030524,0.7881548974763518,0.8873239436619719,0.8378378378378378,0.09659408143850443,0.11507090895768496,0.11507090892670058,0.30843924821079644,2.010237145674282
0.05,1.0,0.5,0.5,0.8502802241793435,0.8465955701394585,0.18518518511659807,0.12227805694937557,0.10215053762891663,0.20501138951697012,0.8978494623173199,0.7949886104602508,0.8873239436619719,0.8426640926640927,0.06290712816722249,0.1028608518880535,0.10286085185706906,0.3247847508319492,1.9824221305367768
0.05,2.0,0.5,0.5,0.8542834267413931,0.8500823723228995,0.2592592591632373,0.11055276381724367,0.08064516128598681,0.21412300682883545,0.9193548386602497,0.7858769931483854,0.8967136150234741,0.8455598455598455,0.14870649534599362,0.13347784554284864,0.13347784551186426,0.27237558233956244,2.1064847600797574
0.1,0.5,0.5,0.5,0.8614891913530824,0.8587755102040816,0.2592592591632373,0.11222780569326252,0.09139784945745172,0.18678815489323944,0.9086021504887848,0.8132118450839815,0.8873239436619719,0.8561776061776062,0.14703145346997476,0.09539030543578772,0.09539030540480331,0.29405627167995263,2.0189564570024934
0.1,1.0,0.5,0.5,0.8462770216172938,0.8423645320197044,0.18518518511659807,0.12562814070141326,0.10215053762891663,0.21184510250086913,0.8978494623173199,0.7881548974763518,0.8873239436619719,0.8378378378378378,0.05955704441518481,0.1096945648719525,0.10969456484096807,0.3242566455549398,1.9871309715860719
0.1,2.0,0.5,0.5,0.8486789431545236,0.8447000821692687,0.2962962961865569,0.11725293132131905,0.09139784945745172,0.21412300682883545,0.9086021504887848,0.7858769931483854,0.8826291079812206,0.8416988416988417,0.17904336486523786,0.12272515737138373,0.12272515734039935,0.2819623005284482,2.0744611733958713
0.25,0.5,0.5,0.5,0.8638911128903123,0.8604269293924466,0.22222222213991769,0.10552763818918715,0.08602150537171926,0.19362186787713845,0.9139784945745173,0.8063781321000825,0.8967136150234741,0.8571428571428571,0.11669458395073054,0.10760036250541918,0.10760036247443483,0.2907309180978703,2.0528478115538196
0.25,1.0,0.5,0.5,0.8494795836669335,0.8466557911908646,0.18518518511659807,0.12897822445345095,0.10215053762891663,0.1981776765330711,0.8978494623173199,0.8018223234441498,0.8873239436619719,0.8416988416988417,0.05620696066314712,0.09602713890415449,0.09602713887317005,0.3285302091795945,1.9500749170667528
0.25,2.0,0.5,0.5,0.8518815052041633,0.8482362592288761,0.14814814809327845,0.12227805694937557,0.10215053762891663,0.20273348518900378,0.8978494623173199,0.7972665147882172,0.892018779342723,0.8436293436293436,0.025870091143902874,0.10058294756008715,0.10058294752910268,0.3332490810577236,1.9662370909903988
0.5,0.5,0.5,0.5,0.8566853482786229,0.8519437551695617,0.22222222213991769,0.10552763818918715,0.1075268817146491,0.20501138951697012,0.8924731182315875,0.7949886104602508,0.8779342723004695,0.8523166023166023,0.11669458395073054,0.09748450780232103,0.09748450777133666,0.31957986709092856,2.0305391713301635
0.5,1.0,0.5,0.5,0.8494795836669335,0.8459016393442623,0.2592592591632373,0.12060301507335673,0.09139784945745172,0.20956719817290279,0.9086021504887848,0.7904328018043182,0.8873239436619719,0.8416988416988417,0.13865624408988053,0.11816934871545107,0.1181693486844666,0.29167331976145605,2.043049015559566
0.5,2.0,0.5,0.5,0.8606885508406725,0.855,0.22222222213991769,0.09380234505705523,0.10215053762891663,0.21184510250086913,0.8978494623173199,0.7881548974763518,0.8826291079812206,0.8561776061776062,0.12841987708286245,0.1096945648719525,0.10969456484096807,0.30686748806180036,2.093149223145884
