alpha,accuracy,f1,fpr_AAE,fnr_AAE,fpr_SAE,fnr_SAE,fpr_gap,fnr_gap
1.0,0.8422738190552442,0.8404858299595142,0.37037037037037035,0.0967741935483871,0.13712374581939799,0.19863013698630136,0.23324662455097236,0.10185594343791426
1.25,0.8294635708566853,0.8266883645240033,0.37037037037037035,0.11290322580645161,0.1454849498327759,0.21689497716894976,0.22488542053759444,0.10399175136249815
1.5,0.8326661329063251,0.8296658516707417,0.4074074074074074,0.0967741935483871,0.13879598662207357,0.22146118721461186,0.26861142078533384,0.12468699366622477
1.75,0.833466773418735,0.8300653594771242,0.2962962962962963,0.0913978494623656,0.14046822742474915,0.22602739726027396,0.15582806887154713,0.13462954779790837
2.0,0.8294635708566853,0.8266883645240033,0.2962962962962963,0.11827956989247312,0.1488294314381271,0.2146118721461187,0.14746686485816918,0.09633230225364559
2.25,0.833466773418735,0.8303425774877651,0.3333333333333333,0.12903225806451613,0.14046822742474915,0.20776255707762556,0.19286510590858416,0.07873029901310943
2.5,0.8414731785428343,0.8382352941176471,0.3333333333333333,0.11827956989247312,0.13043478260869565,0.20319634703196346,0.20289855072463767,0.08491677713949033
2.75,0.8326661329063251,0.8315874294923449,0.37037037037037035,0.08602150537634409,0.15217391304347827,0.2100456621004566,0.21819645732689208,0.12402415672411252
3.0,0.8358686949559647,0.8334687246141349,0.37037037037037035,0.11290322580645161,0.14046822742474915,0.2054794520547945,0.2299021429456212,0.0925762262483429
3.25,0.8406725380304243,0.8393866020984665,0.37037037037037035,0.0913978494623656,0.14214046822742474,0.19863013698630136,0.2282299021429456,0.10723228752393577
3.5,0.8350680544435548,0.8311475409836065,0.3333333333333333,0.10215053763440861,0.13377926421404682,0.2237442922374429,0.1995540691192865,0.1215937546030343
3.75,0.8398718975180144,0.834983498349835,0.3333333333333333,0.11290322580645161,0.12207357859531773,0.22146118721461186,0.2112597547380156,0.10855796140816025
4.0,0.8318654923939152,0.8284313725490197,0.3333333333333333,0.11290322580645161,0.14046822742474915,0.2191780821917808,0.19286510590858416,0.1062748563853292
4.25,0.8238590872698158,0.8205546492659054,0.2962962962962963,0.12903225806451613,0.15217391304347827,0.22146118721461186,0.144122383252818,0.09242892915009573
4.5,0.8398718975180144,0.8368678629690048,0.3333333333333333,0.0967741935483871,0.13377926421404682,0.21232876712328766,0.1995540691192865,0.11555457357490057
5.0,0.8318654923939152,0.8292682926829268,0.3333333333333333,0.11290322580645161,0.1454849498327759,0.21232876712328766,0.1878483835005574,0.09942554131683605
