gamma,val_accuracy,val_f1,val_fpr_AAE,val_fpr_SAE,val_fpr_gap,val_fnr_AAE,val_fnr_SAE,val_fnr_gap,test_accuracy,test_f1,test_fpr_AAE,test_fpr_SAE,test_fpr_gap,test_fnr_AAE,test_fnr_SAE,test_fnr_gap
0.0,0.8374699759807847,0.8334700574241182,0.2222222222222222,0.13400335008375208,0.08821887213847013,0.08602150537634409,0.23006833712984054,0.14404683175349645,0.8286629303442754,0.8260162601626017,0.37037037037037035,0.14715719063545152,0.22321317973491883,0.11290322580645161,0.21689497716894976,0.10399175136249815
0.02,0.8398718975180144,0.8284734133790738,0.18518518518518517,0.08877721943048576,0.09640796575469941,0.10215053763440861,0.28018223234624146,0.17803169471183283,0.8246597277822257,0.8145639288738358,0.3333333333333333,0.11204013377926421,0.22129319955406912,0.13440860215053763,0.2694063926940639,0.13499779054352629
0.04,0.8254603682946358,0.8050089445438283,0.18518518518518517,0.06365159128978225,0.12153359389540293,0.11827956989247312,0.34851936218678814,0.23023979229431502,0.8158526821457166,0.8,0.4074074074074074,0.09197324414715718,0.3154341632602502,0.15591397849462366,0.3082191780821918,0.15230519958756814
0.06,0.8126501200960768,0.7861060329067642,0.2222222222222222,0.05527638190954774,0.16694584031267445,0.12903225806451613,0.3895216400911162,0.26048938202660005,0.8134507606084868,0.7932564330079858,0.25925925925925924,0.08193979933110368,0.17731945992815557,0.16129032258064516,0.3356164383561644,0.17432611577551924
0.08,0.8038430744595677,0.772093023255814,0.18518518518518517,0.05025125628140704,0.13493392890377814,0.15053763440860216,0.4145785876993166,0.2640409532907144,0.8062449959967974,0.7803992740471869,0.25925925925925924,0.06856187290969899,0.19069738634956024,0.17204301075268819,0.3698630136986301,0.19782000294594193
0.1,0.7982385908726981,0.7649253731343284,0.18518518518518517,0.05360134003350084,0.13158384515168434,0.15591397849462366,0.42369020501138954,0.2677762265167659,0.7974379503602882,0.7697907188353048,0.3333333333333333,0.07190635451505016,0.26142697881828314,0.16666666666666666,0.3881278538812785,0.22146118721461186
0.12,0.7966373098478783,0.7626168224299066,0.18518518518518517,0.05360134003350084,0.13158384515168434,0.15053763440860216,0.4305239179954442,0.2799862835868421,0.7910328262610088,0.7603305785123967,0.2962962962962963,0.07190635451505016,0.2243899417812461,0.16666666666666666,0.408675799086758,0.24200913242009134
0.14,0.7926341072858286,0.7545023696682465,0.14814814814814814,0.04690117252931323,0.10124697561883492,0.16666666666666666,0.44646924829157175,0.2798025816249051,0.7926341072858286,0.7621671258034894,0.2962962962962963,0.07023411371237458,0.2260621825839217,0.16666666666666666,0.4063926940639269,0.23972602739726026
0.16,0.789431545236189,0.7507109004739336,0.18518518518518517,0.048576214405360134,0.13660897077982503,0.15591397849462366,0.45558086560364464,0.299666887109021,0.7918334667734187,0.7623400365630713,0.2962962962962963,0.07525083612040134,0.22104546017589494,0.17204301075268819,0.3995433789954338,0.2275003682427456
0.18,0.789431545236189,0.7507109004739336,0.18518518518518517,0.048576214405360134,0.13660897077982503,0.15591397849462366,0.45558086560364464,0.299666887109021,0.7886309047237791,0.756007393715342,0.3333333333333333,0.06688963210702341,0.2664437012263099,0.17204301075268819,0.4178082191780822,0.245765208425394
0.2,0.7918334667734187,0.7533206831119544,0.14814814814814814,0.04690117252931323,0.10124697561883492,0.17204301075268819,0.44646924829157175,0.27442623753888357,0.7870296236989591,0.7541589648798521,0.3333333333333333,0.06856187290969899,0.2647714604236343,0.16666666666666666,0.4223744292237443,0.2557077625570776
